#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.73e+00    1.66e+00      1.40e-02    6.80e-03      8.64e-02    5.23e-02    1.0e-03
   1000      1.50e+00    1.35e+00      3.18e-02    5.96e-02      4.73e-02    4.27e-02    1.0e-03
   2000      1.28e+00    1.10e+00      4.33e-02    7.92e-02      4.51e-02    3.78e-02    7.8e-04
   3000      1.97e+00    2.36e+00      2.66e-02    3.16e-02      7.05e-02    8.45e-02    7.8e-04
   4000      1.59e+00    2.03e+00      5.39e-02    3.13e-02      6.33e-02    8.25e-02    6.1e-04
   5000      1.96e+00    1.49e+00      4.53e-02    5.76e-02      7.91e-02    5.97e-02    6.1e-04
   6000      1.51e+00    2.30e+00      3.52e-02    1.00e-01      6.84e-02    1.04e-01    4.7e-04
   7000      8.98e-01    2.14e+00      2.16e-02    1.19e-02      4.10e-02    9.84e-02    4.7e-04
   8000      1.21e+00    1.35e+00      4.39e-02    5.61e-03      6.08e-02    7.03e-02    3.7e-04
   9000      1.31e+00    7.50e-01      3.32e-02    4.85e-02      6.75e-02    3.68e-02    3.7e-04
  10000      8.77e-01    1.11e+00      2.20e-02    1.71e-02      5.01e-02    6.53e-02    2.8e-04
  11000      8.84e-01    6.95e-01      4.96e-02    1.07e-01      4.79e-02    3.41e-02    2.8e-04
  12000      7.89e-01    1.10e+00      3.15e-02    1.81e-02      4.90e-02    7.37e-02    2.2e-04
  13000      8.22e-01    5.84e-01      3.00e-02    8.51e-03      5.30e-02    3.89e-02    2.2e-04
  14000      9.27e-01    5.10e-01      2.04e-02    2.01e-02      6.94e-02    3.68e-02    1.7e-04
  15000      7.78e-01    6.60e-01      2.90e-02    5.49e-02      5.72e-02    4.70e-02    1.7e-04
  16000      6.78e-01    4.07e-01      1.89e-02    1.50e-03      5.69e-02    3.51e-02    1.3e-04
  17000      7.58e-01    7.27e-01      2.23e-02    1.49e-02      6.22e-02    6.19e-02    1.3e-04
  18000      8.07e-01    1.26e+00      1.13e-02    6.18e-02      7.78e-02    1.17e-01    1.0e-04
  19000      6.01e-01    6.76e-01      2.74e-02    9.54e-03      5.58e-02    6.55e-02    1.0e-04
  20000      8.76e-01    6.57e-01      1.94e-02    1.76e-02      9.54e-02    7.07e-02    8.1e-05
  21000      5.20e-01    7.10e-01      2.13e-02    2.37e-02      5.41e-02    7.52e-02    8.1e-05
  22000      3.80e-01    5.07e-01      1.01e-02    1.05e-02      4.65e-02    6.28e-02    6.3e-05
  23000      1.08e+00    5.31e-01      1.94e-02    5.44e-02      1.34e-01    4.91e-02    6.3e-05
  24000      3.08e-01    9.57e-01      8.89e-03    1.15e-01      4.24e-02    8.02e-02    4.9e-05
  25000      4.53e-01    5.02e-01      1.49e-02    5.31e-02      6.11e-02    6.17e-02    4.9e-05
  26000      6.49e-01    1.60e-01      2.64e-02    8.38e-03      9.94e-02    2.35e-02    3.8e-05
  27000      4.86e-01    2.61e-01      1.77e-02    6.44e-04      7.50e-02    4.18e-02    3.8e-05
  28000      2.56e-01    2.91e-01      1.22e-02    1.08e-02      4.32e-02    5.04e-02    3.0e-05
  29000      3.13e-01    4.54e-01      1.60e-02    2.67e-02      5.21e-02    7.30e-02    3.0e-05
  30000      3.89e-01    3.79e-01      3.31e-02    1.05e-02      6.44e-02    7.55e-02    2.3e-05
  31000      4.38e-01    2.72e-01      2.24e-02    5.39e-03      8.29e-02    5.48e-02    2.3e-05
