#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.90e+00    2.71e+00      2.77e-02    2.26e-03      9.17e-02    8.58e-02    1.0e-03
   1000      1.84e+00    1.30e+00      4.85e-02    3.29e-02      5.80e-02    4.12e-02    1.0e-03
   2000      1.92e+00    2.44e+00      4.44e-02    2.64e-02      6.84e-02    8.75e-02    7.8e-04
   3000      1.08e+00    6.96e-01      2.89e-02    7.09e-03      3.85e-02    2.49e-02    7.8e-04
   4000      1.15e+00    1.56e+00      5.30e-02    6.53e-02      4.49e-02    6.23e-02    6.1e-04
   5000      1.56e+00    2.12e+00      4.80e-02    4.46e-02      6.27e-02    8.57e-02    6.1e-04
   6000      1.89e+00    1.46e+00      4.22e-02    1.04e-03      8.61e-02    6.73e-02    4.7e-04
   7000      1.31e+00    2.25e+00      6.15e-02    2.62e-02      5.69e-02    1.04e-01    4.7e-04
   8000      9.49e-01    6.62e-01      1.08e-02    2.43e-02      4.92e-02    3.43e-02    3.7e-04
   9000      7.50e-01    7.55e-01      3.85e-02    5.87e-04      3.61e-02    3.94e-02    3.7e-04
  10000      1.14e+00    1.03e+00      3.88e-02    2.12e-02      6.51e-02    6.08e-02    2.8e-04
  11000      8.04e-01    7.33e-01      5.33e-02    3.83e-02      4.23e-02    4.05e-02    2.8e-04
  12000      1.07e+00    8.20e-01      3.45e-02    2.79e-02      6.95e-02    5.30e-02    2.2e-04
  13000      9.98e-01    4.53e-01      3.34e-02    1.65e-02      6.56e-02    2.97e-02    2.2e-04
  14000      7.41e-01    9.74e-01      2.59e-02    2.99e-03      5.25e-02    7.40e-02    1.7e-04
  15000      7.80e-01    1.41e+00      1.21e-02    2.55e-02      5.89e-02    1.06e-01    1.7e-04
  16000      8.78e-01    9.70e-01      3.20e-02    3.12e-02      7.35e-02    8.12e-02    1.3e-04
  17000      1.37e+00    6.98e-01      3.22e-02    2.13e-03      1.15e-01    6.01e-02    1.3e-04
  18000      4.95e-01    3.72e-01      2.03e-02    6.75e-03      4.54e-02    3.62e-02    1.0e-04
  19000      8.84e-01    7.91e-01      5.10e-02    1.63e-02      7.72e-02    7.65e-02    1.0e-04
  20000      4.92e-01    2.12e-01      2.38e-02    1.08e-03      5.00e-02    2.34e-02    8.1e-05
  21000      5.85e-01    8.40e-01      2.18e-02    5.73e-03      6.21e-02    9.26e-02    8.1e-05
  22000      6.74e-01    6.70e-01      2.52e-02    1.49e-02      8.10e-02    8.23e-02    6.3e-05
  23000      5.45e-01    3.64e-01      9.06e-03    1.92e-02      6.74e-02    4.18e-02    6.3e-05
  24000      4.92e-01    3.75e-01      3.52e-02    5.48e-02      5.99e-02    3.95e-02    4.9e-05
  25000      5.83e-01    6.24e-01      2.83e-02    1.13e-02      7.72e-02    8.75e-02    4.9e-05
  26000      4.51e-01    1.10e+00      1.09e-02    7.67e-03      7.10e-02    1.76e-01    3.8e-05
  27000      3.98e-01    6.07e-01      2.07e-02    1.56e-03      5.41e-02    9.70e-02    3.8e-05
  28000      5.21e-01    2.96e-01      7.36e-03    1.62e-03      9.36e-02    5.34e-02    3.0e-05
  29000      5.43e-01    3.77e-01      1.76e-02    2.71e-02      9.43e-02    5.58e-02    3.0e-05
  30000      3.15e-01    3.53e-01      1.72e-02    3.12e-03      5.70e-02    7.18e-02    2.3e-05
