#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.16e-01    1.81e-01      3.93e-16    0.00e+00      9.99e-03    5.72e-03    1.0e-03
   1000      3.62e-01    5.91e-01      1.54e-02    1.64e-02      1.14e-02    1.87e-02    1.0e-03
   2000      3.47e-01    4.65e-01      2.17e-02    1.21e-02      1.26e-02    1.79e-02    6.7e-04
   3000      2.88e-01    2.29e-01      1.02e-02    1.49e-02      1.10e-02    8.43e-03    6.7e-04
   4000      2.94e-01    2.68e-01      9.30e-03    1.01e-02      1.37e-02    1.24e-02    4.5e-04
   5000      1.95e-01    1.57e-01      7.25e-03    1.08e-02      8.93e-03    6.81e-03    4.5e-04
   6000      2.20e-01    1.60e-01      1.31e-02    6.47e-04      1.17e-02    9.24e-03    3.0e-04
   7000      2.01e-01    1.07e-01      6.53e-03    2.57e-03      1.13e-02    6.12e-03    3.0e-04
   8000      1.45e-01    3.03e-01      3.42e-03    1.57e-02      9.92e-03    2.08e-02    2.0e-04
   9000      1.30e-01    1.11e-01      3.03e-03    6.46e-03      9.01e-03    7.61e-03    2.0e-04
  10000      1.46e-01    7.58e-02      4.11e-03    2.29e-04      1.22e-02    6.52e-03    1.3e-04
  11000      1.45e-01    1.72e-01      5.07e-03    4.30e-03      1.21e-02    1.45e-02    1.3e-04
  12000      1.33e-01    7.60e-02      4.12e-03    8.48e-04      1.37e-02    7.96e-03    9.0e-05
  13000      1.27e-01    1.41e-01      4.11e-03    6.41e-03      1.30e-02    1.45e-02    9.0e-05
  14000      8.62e-02    6.09e-02      3.51e-03    6.40e-03      1.02e-02    4.86e-03    6.0e-05
  15000      1.16e-01    9.48e-02      2.35e-03    3.60e-03      1.46e-02    1.18e-02    6.0e-05
  16000      1.04e-01    5.10e-02      4.92e-03    4.07e-03      1.54e-02    6.33e-03    4.0e-05
  17000      7.68e-02    7.13e-02      4.12e-03    4.30e-03      1.13e-02    9.73e-03    4.0e-05
  18000      6.50e-02    3.12e-02      5.31e-03    3.75e-04      9.80e-03    5.88e-03    2.7e-05
  19000      7.43e-02    9.88e-02      1.67e-03    2.11e-03      1.38e-02    1.85e-02    2.7e-05
  20000      7.37e-02    5.60e-02      1.26e-03    2.11e-03      1.67e-02    1.22e-02    1.8e-05
  21000      4.91e-02    9.44e-02      1.35e-03    3.76e-03      1.09e-02    2.09e-02    1.8e-05
  22000      6.25e-02    3.58e-02      1.42e-03    2.72e-03      1.67e-02    7.93e-03    1.2e-05
  23000      3.95e-02    2.54e-02      2.14e-03    6.00e-04      1.02e-02    6.91e-03    1.2e-05
  24000      3.57e-02    2.84e-02      2.68e-03    1.82e-03      1.02e-02    8.03e-03    8.0e-06
  25000      4.10e-02    2.98e-02      1.63e-03    3.79e-04      1.30e-02    9.87e-03    8.0e-06
  26000      3.67e-02    1.65e-02      2.00e-03    2.89e-04      1.36e-02    6.48e-03    5.4e-06
  27000      3.92e-02    2.38e-02      1.60e-03    1.77e-03      1.49e-02    7.58e-03    5.4e-06
  28000      2.72e-02    2.15e-02      6.40e-04    4.95e-04      1.23e-02    9.87e-03    3.6e-06
  29000      3.13e-02    1.48e-02      2.08e-03    1.46e-03      1.29e-02    6.16e-03    3.6e-06
  30000      2.62e-02    3.03e-02      1.43e-03    1.26e-03      1.28e-02    1.61e-02    2.4e-06
  31000      3.62e-02    2.76e-02      1.33e-03    2.28e-03      1.88e-02    1.26e-02    2.4e-06
  32000      2.75e-02    1.34e-02      1.53e-03    2.19e-04      1.57e-02    8.26e-03    1.6e-06
  33000      2.39e-02    3.07e-02      1.61e-03    1.22e-03      1.33e-02    1.84e-02    1.6e-06
  34000      3.05e-02    2.03e-02      7.66e-04    1.34e-03      2.07e-02    1.29e-02    1.1e-06
  35000      2.05e-02    1.06e-02      9.98e-04    1.18e-05      1.34e-02    7.37e-03    1.1e-06
  36000      1.50e-02    1.21e-02      1.19e-03    6.93e-04      1.01e-02    8.15e-03    7.2e-07
  37000      1.54e-02    2.52e-02      7.60e-04    1.18e-04      1.11e-02    1.92e-02    7.2e-07
  38000      1.64e-02    1.87e-02      1.30e-03    1.62e-03      1.14e-02    1.03e-02    4.8e-07
  39000      1.74e-02    1.76e-02      9.50e-04    1.06e-03      1.32e-02    1.35e-02    4.8e-07
  40000      2.08e-02    4.19e-02      8.11e-04    7.24e-03      1.72e-02    2.05e-02    3.2e-07
  41000      1.03e-02    1.63e-02      7.27e-04    1.03e-03      8.10e-03    1.30e-02    3.2e-07
  42000      1.58e-02    1.03e-02      5.17e-04    2.38e-05      1.38e-02    9.31e-03    2.2e-07
  43000      1.96e-02    1.52e-02      1.34e-03    4.88e-04      1.59e-02    1.34e-02    2.2e-07
  44000      1.29e-02    9.49e-03      5.36e-04    6.53e-04      1.11e-02    8.40e-03    1.4e-07
  45000      1.32e-02    1.15e-02      4.37e-04    7.58e-04      1.21e-02    1.03e-02    1.4e-07
  46000      1.59e-02    1.78e-02      8.55e-04    1.45e-03      1.39e-02    1.56e-02    9.6e-08
  47000      1.34e-02    1.30e-02      9.98e-04    1.19e-03      9.95e-03    8.17e-03    9.6e-08
  48000      1.34e-02    1.85e-02      6.39e-04    1.82e-03      1.19e-02    1.07e-02    6.5e-08
  49000      1.48e-02    3.29e-02      1.07e-03    4.85e-03      1.23e-02    2.26e-02    6.5e-08
  50000      1.47e-02    8.78e-03      6.60e-04    1.11e-03      1.27e-02    6.91e-03    4.3e-08
