#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.29e+00    2.56e+00      1.66e-02    2.20e-02      7.24e-02    8.09e-02    1.0e-03
   1000      2.01e+00    3.08e+00      4.13e-02    5.23e-02      6.35e-02    9.74e-02    1.0e-03
   2000      1.87e+00    3.31e+00      5.22e-02    1.35e-01      6.68e-02    1.18e-01    7.8e-04
   3000      1.50e+00    1.38e+00      6.89e-02    9.43e-02      5.27e-02    4.88e-02    7.8e-04
   4000      2.62e+00    1.43e+00      9.95e-02    9.80e-02      1.05e-01    5.69e-02    6.1e-04
   5000      1.27e+00    9.27e-01      9.65e-02    2.17e-02      4.70e-02    3.74e-02    6.1e-04
   6000      1.63e+00    3.14e+00      3.62e-02    2.88e-02      7.46e-02    1.45e-01    4.7e-04
   7000      1.48e+00    1.92e+00      4.49e-02    4.62e-02      6.73e-02    8.77e-02    4.7e-04
   8000      1.22e+00    1.30e+00      4.10e-02    1.55e-01      6.24e-02    5.32e-02    3.7e-04
   9000      2.09e+00    7.75e-01      6.07e-02    9.47e-03      1.07e-01    4.04e-02    3.7e-04
  10000      1.42e+00    1.54e+00      3.62e-02    9.67e-02      8.23e-02    8.13e-02    2.8e-04
  11000      1.38e+00    1.57e+00      6.80e-02    1.09e-01      7.62e-02    8.06e-02    2.8e-04
  12000      1.45e+00    1.51e+00      4.65e-02    1.81e-02      9.31e-02    1.01e-01    2.2e-04
  13000      1.65e+00    2.19e+00      5.78e-02    3.82e-03      1.04e-01    1.47e-01    2.2e-04
  14000      9.73e-01    7.10e-01      3.23e-02    1.58e-03      7.16e-02    5.39e-02    1.7e-04
  15000      1.26e+00    7.67e-01      7.15e-02    6.33e-03      8.61e-02    5.82e-02    1.7e-04
  16000      7.74e-01    7.44e-01      3.64e-02    6.91e-02      6.19e-02    4.59e-02    1.3e-04
  17000      7.28e-01    1.09e+00      3.25e-02    1.68e-03      5.68e-02    9.41e-02    1.3e-04
  18000      9.78e-01    4.39e-01      7.15e-02    8.54e-03      7.43e-02    4.25e-02    1.0e-04
  19000      9.57e-01    1.14e+00      6.30e-02    8.00e-02      7.28e-02    9.31e-02    1.0e-04
  20000      5.35e-01    7.70e-01      1.82e-02    3.42e-02      5.67e-02    8.13e-02    8.1e-05
  21000      8.57e-01    7.07e-01      2.11e-02    6.71e-03      9.24e-02    7.79e-02    8.1e-05
  22000      8.35e-01    8.83e-01      4.92e-02    6.21e-02      7.82e-02    1.05e-01    6.3e-05
  23000      7.30e-01    6.65e-01      3.48e-02    5.65e-02      8.41e-02    7.01e-02    6.3e-05
  24000      6.34e-01    6.07e-01      5.30e-02    6.48e-02      7.31e-02    6.14e-02    4.9e-05
  25000      5.34e-01    3.78e-01      2.55e-02    5.37e-02      7.03e-02    4.19e-02    4.9e-05
  26000      2.99e-01    4.90e-01      8.03e-03    7.70e-02      4.64e-02    5.28e-02    3.8e-05
  27000      5.37e-01    3.22e-01      4.27e-02    1.91e-02      6.74e-02    4.60e-02    3.8e-05
  28000      4.10e-01    3.80e-01      2.71e-02    1.84e-02      6.41e-02    6.23e-02    3.0e-05
  29000      6.69e-01    3.62e-01      6.72e-02    3.70e-03      8.27e-02    6.53e-02    3.0e-05
  30000      7.48e-01    7.83e-01      9.63e-02    6.44e-02      6.73e-02    1.35e-01    2.3e-05
  31000      5.21e-01    2.16e-01      3.74e-02    1.15e-02      8.67e-02    4.00e-02    2.3e-05
  32000      6.49e-01    2.31e-01      6.55e-02    4.64e-04      7.33e-02    5.32e-02    1.8e-05
  33000      4.94e-01    5.26e-01      5.34e-02    5.57e-02      4.79e-02    6.31e-02    1.8e-05
  34000      4.70e-01    2.14e-01      4.30e-02    1.84e-02      7.55e-02    5.07e-02    1.4e-05
  35000      3.84e-01    5.53e-01      3.44e-02    8.22e-02      7.17e-02    4.67e-02    1.4e-05
  36000      4.08e-01    3.19e-01      3.59e-02    2.52e-02      7.69e-02    7.99e-02    1.1e-05
  37000      3.93e-01    2.87e-01      2.47e-02    1.52e-02      9.72e-02    7.86e-02    1.1e-05
  38000      4.22e-01    2.92e-01      5.01e-02    2.51e-02      7.40e-02    6.44e-02    8.4e-06
  39000      3.81e-01    2.22e-01      4.44e-02    9.25e-03      4.40e-02    7.10e-02    8.4e-06
  40000      3.00e-01    6.35e-01      3.01e-02    7.56e-02      6.10e-02    4.71e-02    6.6e-06
  41000      2.37e-01    2.08e-01      2.24e-02    4.27e-03      5.04e-02    7.54e-02    6.6e-06
  42000      2.74e-01    2.83e-01      2.11e-02    5.02e-02      8.66e-02    6.68e-02    5.1e-06
  43000      2.23e-01    3.95e-01      8.71e-03    1.98e-02      7.97e-02    1.50e-01    5.1e-06
  44000      2.82e-01    3.16e-01      2.82e-02    3.53e-02      6.48e-02    5.98e-02    4.0e-06
  45000      2.92e-01    9.94e-01      3.37e-02    1.52e-01      5.57e-02    7.34e-02    4.0e-06
  46000      3.74e-01    1.68e-01      4.10e-02    1.11e-02      8.07e-02    7.09e-02    3.1e-06
  47000      2.79e-01    1.29e-01      1.69e-02    1.44e-03      1.16e-01    6.34e-02    3.1e-06
  48000      1.97e-01    1.45e-01      1.75e-02    3.01e-03      8.40e-02    7.75e-02    2.4e-06
  49000      2.75e-01    1.41e-01      3.53e-02    1.05e-02      5.75e-02    6.63e-02    2.4e-06
  50000      2.68e-01    1.24e-01      3.05e-02    1.21e-02      5.77e-02    4.92e-02    1.9e-06
  51000      3.48e+00    1.44e-01      3.63e-01    1.12e-02      1.26e+00    6.61e-02    1.9e-06
