#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      8.07e-01    6.16e-01      3.07e-16    0.00e+00      2.55e-02    1.95e-02    1.0e-03
   1000      4.43e-01    4.13e-01      1.13e-02    8.34e-03      1.40e-02    1.31e-02    1.0e-03
   2000      3.57e-01    2.18e-01      2.80e-02    2.33e-02      1.28e-02    8.09e-03    6.7e-04
   3000      2.80e-01    1.70e-01      1.68e-02    1.77e-02      1.04e-02    6.30e-03    6.7e-04
   4000      3.10e-01    3.30e-01      2.75e-02    9.87e-03      1.33e-02    1.55e-02    4.5e-04
   5000      2.17e-01    3.67e-01      7.72e-03    1.49e-03      9.85e-03    1.73e-02    4.5e-04
   6000      1.86e-01    1.31e-01      1.01e-02    9.44e-03      9.84e-03    7.25e-03    3.0e-04
   7000      1.84e-01    2.38e-01      6.45e-03    5.52e-03      1.03e-02    1.36e-02    3.0e-04
   8000      1.64e-01    1.28e-01      7.81e-03    6.41e-03      1.05e-02    8.82e-03    2.0e-04
   9000      3.09e-01    1.24e-01      3.02e-03    2.74e-03      2.17e-02    8.66e-03    2.0e-04
  10000      1.52e-01    9.66e-02      7.45e-03    4.77e-03      1.13e-02    8.13e-03    1.3e-04
  11000      1.05e-01    1.09e-01      6.81e-03    9.27e-03      8.27e-03    7.16e-03    1.3e-04
  12000      1.19e-01    1.09e-01      7.18e-03    8.18e-03      1.03e-02    9.20e-03    9.0e-05
  13000      1.25e-01    1.17e-01      3.70e-03    4.43e-05      1.28e-02    1.23e-02    9.0e-05
  14000      8.72e-02    1.48e-01      6.45e-03    6.57e-03      9.57e-03    1.81e-02    6.0e-05
  15000      1.16e-01    1.04e-01      2.91e-03    3.56e-03      1.45e-02    1.28e-02    6.0e-05
  16000      8.44e-02    1.88e-01      5.99e-03    2.21e-02      1.06e-02    2.41e-02    4.0e-05
  17000      8.32e-02    7.49e-02      2.18e-03    6.49e-03      1.26e-02    8.35e-03    4.0e-05
  18000      5.38e-02    6.23e-02      2.51e-03    1.30e-03      9.67e-03    1.17e-02    2.7e-05
  19000      6.26e-02    3.73e-02      1.09e-03    1.85e-03      1.18e-02    6.51e-03    2.7e-05
  20000      4.08e-02    3.01e-02      1.41e-03    1.08e-03      9.11e-03    6.64e-03    1.8e-05
  21000      5.01e-02    6.97e-02      2.73e-04    8.11e-03      1.15e-02    1.40e-02    1.8e-05
  22000      2.58e-02    4.82e-02      8.83e-04    3.38e-03      6.82e-03    1.20e-02    1.2e-05
  23000      5.38e-02    5.48e-02      1.08e-03    1.64e-03      1.47e-02    1.48e-02    1.2e-05
  24000      4.27e-02    4.64e-02      2.93e-03    2.61e-03      1.18e-02    1.35e-02    8.0e-06
  25000      4.30e-02    8.04e-02      6.26e-04    5.22e-03      1.41e-02    2.45e-02    8.0e-06
  26000      3.87e-02    3.39e-02      1.44e-03    1.19e-03      1.45e-02    1.29e-02    5.4e-06
  27000      2.78e-02    1.50e-02      1.02e-03    2.77e-04      1.05e-02    5.87e-03    5.4e-06
  28000      2.89e-02    1.32e-02      1.11e-03    2.52e-04      1.28e-02    6.07e-03    3.6e-06
  29000      2.05e-02    1.74e-02      8.50e-04    1.02e-03      9.05e-03    7.24e-03    3.6e-06
  30000      4.42e-02    1.67e-02      1.94e-03    1.26e-03      2.23e-02    7.34e-03    2.4e-06
  31000      3.31e-02    2.51e-02      1.00e-03    1.99e-03      1.74e-02    1.00e-02    2.4e-06
  32000      2.33e-02    3.06e-02      6.27e-04    2.10e-03      1.42e-02    1.79e-02    1.6e-06
  33000      1.63e-02    1.20e-02      3.17e-04    1.09e-04      9.95e-03    7.40e-03    1.6e-06
  34000      3.92e-02    1.93e-02      3.36e-03    1.07e-03      2.25e-02    1.24e-02    1.1e-06
  35000      2.13e-02    2.94e-02      1.69e-03    4.67e-03      1.29e-02    1.51e-02    1.1e-06
  36000      2.13e-02    2.78e-02      1.10e-03    1.25e-03      1.43e-02    2.02e-02    7.2e-07
  37000      1.87e-02    2.13e-02      1.58e-03    1.17e-03      1.23e-02    1.51e-02    7.2e-07
  38000      1.79e-02    8.99e-03      1.27e-03    3.66e-04      1.32e-02    6.97e-03    4.8e-07
  39000      1.08e-02    4.72e-02      5.03e-04    7.64e-03      7.90e-03    2.37e-02    4.8e-07
  40000      2.11e-02    1.80e-02      1.59e-03    1.34e-03      1.64e-02    1.19e-02    3.2e-07
  41000      2.32e-02    1.03e-02      1.37e-03    6.56e-04      1.79e-02    7.84e-03    3.2e-07
  42000      1.24e-02    1.30e-02      4.54e-04    1.36e-03      1.07e-02    1.04e-02    2.2e-07
  43000      2.28e-02    1.41e-02      5.41e-04    8.93e-04      2.03e-02    1.07e-02    2.2e-07
  44000      1.73e-02    1.41e-02      1.04e-03    1.50e-03      1.47e-02    6.30e-03    1.4e-07
  45000      1.05e-02    1.19e-02      8.36e-04    8.79e-04      8.23e-03    1.04e-02    1.4e-07
  46000      1.39e-02    1.17e-02      8.00e-04    1.03e-03      1.13e-02    9.09e-03    9.6e-08
  47000      1.39e-02    5.19e-02      9.73e-04    8.75e-03      1.11e-02    2.79e-02    9.6e-08
  48000      1.63e-02    1.59e-02      9.94e-04    4.29e-04      1.45e-02    1.50e-02    6.5e-08
  49000      1.36e-02    2.85e-02      1.22e-03    1.04e-05      1.10e-02    2.76e-02    6.5e-08
  50000      2.02e-02    1.12e-02      6.52e-04    8.18e-05      1.89e-02    1.10e-02    4.3e-08
