#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      4.54e-01    2.56e-01      5.87e-16    0.00e+00      1.43e-02    8.09e-03    1.0e-03
   1000      3.35e-01    3.69e-01      3.18e-02    4.64e-02      1.05e-02    1.15e-02    1.0e-03
   2000      2.63e-01    2.72e-01      1.87e-02    1.35e-03      9.62e-03    1.05e-02    6.7e-04
   3000      2.85e-01    2.67e-01      1.25e-02    9.04e-03      1.06e-02    1.02e-02    6.7e-04
   4000      2.23e-01    1.70e-01      1.05e-02    1.83e-02      1.02e-02    7.49e-03    4.5e-04
   5000      2.39e-01    1.87e-01      5.23e-03    1.53e-02      1.12e-02    8.48e-03    4.5e-04
   6000      2.03e-01    2.51e-01      1.64e-02    8.95e-03      1.01e-02    1.40e-02    3.0e-04
   7000      1.63e-01    2.04e-01      5.58e-03    3.00e-03      9.05e-03    1.17e-02    3.0e-04
   8000      1.59e-01    8.70e-02      1.33e-02    4.21e-03      9.05e-03    6.01e-03    2.0e-04
   9000      1.28e-01    1.06e-01      6.18e-03    2.02e-03      8.42e-03    7.39e-03    2.0e-04
  10000      1.19e-01    7.54e-02      5.68e-03    6.62e-03      9.30e-03    5.06e-03    1.3e-04
  11000      8.32e-02    1.35e-01      1.46e-03    3.69e-03      7.11e-03    1.14e-02    1.3e-04
  12000      1.42e-01    1.06e-01      1.82e-03    3.18e-03      1.47e-02    1.08e-02    9.0e-05
  13000      1.44e-01    8.77e-02      1.15e-02    5.41e-03      1.15e-02    8.12e-03    9.0e-05
  14000      8.93e-02    6.85e-02      3.19e-03    2.59e-03      1.08e-02    8.32e-03    6.0e-05
  15000      1.07e-01    7.07e-02      5.98e-03    4.33e-03      1.22e-02    7.80e-03    6.0e-05
  16000      1.07e-01    4.32e-02      1.68e-03    1.42e-03      1.63e-02    6.66e-03    4.0e-05
  17000      6.55e-02    6.35e-02      2.23e-03    1.44e-04      9.64e-03    9.91e-03    4.0e-05
  18000      7.50e-02    5.21e-02      1.39e-03    3.48e-03      1.41e-02    8.35e-03    2.7e-05
  19000      6.05e-02    1.32e-01      1.26e-03    1.12e-03      1.11e-02    2.49e-02    2.7e-05
  20000      5.47e-02    2.89e-02      2.97e-03    4.54e-04      1.12e-02    6.63e-03    1.8e-05
  21000      4.44e-02    4.27e-02      2.37e-03    2.12e-04      9.52e-03    9.80e-03    1.8e-05
  22000      5.68e-02    4.32e-02      1.46e-03    1.64e-03      1.54e-02    1.18e-02    1.2e-05
  23000      3.92e-02    6.52e-02      1.21e-03    5.55e-03      1.04e-02    1.65e-02    1.2e-05
  24000      3.46e-02    5.39e-02      1.32e-03    4.87e-04      1.08e-02    1.79e-02    8.0e-06
  25000      4.20e-02    4.35e-02      1.59e-03    2.12e-03      1.35e-02    1.37e-02    8.0e-06
  26000      2.05e-02    1.50e-02      7.19e-04    4.22e-04      7.68e-03    5.78e-03    5.4e-06
  27000      3.46e-02    1.82e-02      1.65e-03    5.05e-04      1.31e-02    7.03e-03    5.4e-06
  28000      2.31e-02    1.63e-02      5.67e-04    1.31e-03      1.04e-02    7.06e-03    3.6e-06
  29000      2.26e-02    2.85e-02      3.68e-04    8.58e-04      1.04e-02    1.30e-02    3.6e-06
  30000      3.60e-02    2.59e-02      2.14e-03    2.12e-04      1.71e-02    1.40e-02    2.4e-06
  31000      2.46e-02    1.64e-02      1.50e-03    7.98e-04      1.21e-02    8.08e-03    2.4e-06
  32000      2.98e-02    3.08e-02      1.08e-03    1.97e-03      1.75e-02    1.74e-02    1.6e-06
  33000      1.54e-02    6.45e-02      4.37e-04    9.96e-03      9.25e-03    2.61e-02    1.6e-06
  34000      2.68e-02    2.35e-02      1.64e-03    1.51e-03      1.67e-02    1.48e-02    1.1e-06
  35000      3.45e-02    2.72e-02      6.69e-04    5.54e-04      2.36e-02    1.86e-02    1.1e-06
  36000      1.48e-02    1.83e-02      4.94e-04    8.80e-04      1.08e-02    1.33e-02    7.2e-07
  37000      2.00e-02    9.33e-03      7.61e-04    4.47e-04      1.46e-02    6.60e-03    7.2e-07
  38000      1.60e-02    1.81e-02      1.15e-03    8.67e-04      1.15e-02    1.37e-02    4.8e-07
  39000      1.59e-02    8.30e-03      5.53e-04    3.07e-04      1.17e-02    6.52e-03    4.8e-07
  40000      1.04e-02    1.02e-02      2.28e-04    6.40e-04      8.72e-03    7.61e-03    3.2e-07
  41000      2.03e-02    1.80e-02      1.54e-03    1.56e-03      1.47e-02    1.29e-02    3.2e-07
  42000      2.01e-02    1.77e-02      8.68e-04    1.57e-03      1.75e-02    1.04e-02    2.2e-07
  43000      1.49e-02    1.35e-02      7.78e-04    1.16e-03      1.25e-02    8.68e-03    2.2e-07
  44000      1.87e-02    2.00e-02      1.45e-03    2.18e-03      1.46e-02    1.36e-02    1.4e-07
  45000      2.08e-02    1.43e-02      1.05e-03    9.30e-04      1.80e-02    1.09e-02    1.4e-07
  46000      1.70e-02    1.09e-02      7.96e-04    9.17e-04      1.54e-02    7.51e-03    9.6e-08
  47000      1.02e-02    1.67e-02      4.17e-04    1.50e-03      9.14e-03    1.30e-02    9.6e-08
  48000      1.62e-02    2.32e-02      1.13e-03    1.22e-03      1.42e-02    2.11e-02    6.5e-08
  49000      1.55e-02    1.13e-02      8.31e-04    5.64e-04      1.33e-02    1.06e-02    6.5e-08
  50000      1.24e-02    1.69e-02      5.68e-04    8.26e-04      1.12e-02    1.52e-02    4.3e-08
