#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.21e+00    2.01e+00      2.02e-02    6.91e-03      6.99e-02    6.37e-02    1.0e-03
   1000      1.90e+00    1.23e+00      5.41e-02    2.18e-02      5.99e-02    3.89e-02    1.0e-03
   2000      1.96e+00    1.42e+00      3.24e-02    3.91e-02      7.54e-02    5.45e-02    6.7e-04
   3000      1.47e+00    1.28e+00      8.53e-03    7.25e-02      5.69e-02    4.77e-02    6.7e-04
   4000      2.02e+00    1.68e+00      3.64e-02    1.49e-02      9.49e-02    7.93e-02    4.5e-04
   5000      1.56e+00    1.29e+00      2.25e-02    2.17e-02      7.32e-02    6.08e-02    4.5e-04
   6000      1.66e+00    6.28e-01      2.42e-02    6.68e-03      9.55e-02    3.62e-02    3.0e-04
   7000      1.10e+00    1.54e+00      1.74e-02    4.39e-02      6.29e-02    8.76e-02    3.0e-04
   8000      1.18e+00    1.03e+00      3.90e-02    3.50e-02      8.07e-02    7.02e-02    2.0e-04
   9000      9.93e-01    1.37e+00      2.95e-02    1.79e-03      6.78e-02    9.65e-02    2.0e-04
  10000      7.12e-01    6.49e-01      2.79e-02    5.27e-02      5.83e-02    4.43e-02    1.3e-04
  11000      7.41e-01    5.26e-01      4.33e-02    1.69e-02      5.80e-02    4.41e-02    1.3e-04
  12000      8.86e-01    4.84e-01      5.15e-02    1.11e-02      8.57e-02    5.00e-02    9.0e-05
  13000      1.05e+00    8.77e-01      3.06e-02    5.73e-02      1.08e-01    8.33e-02    9.0e-05
  14000      3.14e-01    6.49e-01      1.31e-02    8.57e-03      3.77e-02    8.29e-02    6.0e-05
  15000      5.45e-01    5.75e-01      2.17e-02    7.92e-02      6.51e-02    3.93e-02    6.0e-05
  16000      4.36e-01    1.82e-01      1.89e-02    5.26e-04      6.34e-02    2.83e-02    4.0e-05
  17000      4.60e-01    5.41e-01      1.74e-02    7.32e-02      6.74e-02    4.60e-02    4.0e-05
  18000      3.84e-01    2.77e-01      3.37e-02    4.33e-02      5.12e-02    3.89e-02    2.7e-05
  19000      3.49e-01    2.58e-01      1.91e-02    2.22e-02      6.02e-02    4.48e-02    2.7e-05
  20000      3.87e-01    2.95e-01      2.34e-02    1.50e-02      7.89e-02    6.19e-02    1.8e-05
  21000      4.76e-01    3.03e-01      2.79e-02    2.67e-02      9.50e-02    4.94e-02    1.8e-05
  22000      2.90e-01    2.52e-01      2.22e-02    1.10e-03      6.08e-02    6.99e-02    1.2e-05
  23000      3.19e-01    7.75e-02      1.53e-02    4.51e-03      8.26e-02    1.92e-02    1.2e-05
  24000      2.35e-01    3.61e-01      6.29e-03    3.62e-02      7.69e-02    8.66e-02    8.0e-06
  25000      2.27e-01    2.30e-01      1.79e-02    4.13e-03      5.60e-02    7.59e-02    8.0e-06
  26000      2.62e-01    2.19e-01      2.24e-02    7.31e-03      8.33e-02    8.29e-02    5.4e-06
  27000      2.91e-01    1.66e-01      2.28e-02    1.05e-02      8.97e-02    5.73e-02    5.4e-06
  28000      1.94e-01    1.97e-01      1.35e-02    1.83e-02      7.63e-02    6.08e-02    3.6e-06
  29000      1.73e-01    1.68e-01      1.23e-02    6.49e-03      6.74e-02    7.61e-02    3.6e-06
  30000      2.32e-01    5.30e-01      1.97e-02    3.90e-02      8.64e-02    2.47e-01    2.4e-06
  31000      2.21e-01    8.31e-02      2.11e-02    5.39e-03      7.88e-02    3.88e-02    2.4e-06
  32000      1.55e-01    1.45e-01      1.30e-02    1.43e-02      7.25e-02    6.81e-02    1.6e-06
  33000      1.55e-01    1.50e-01      1.11e-02    2.13e-02      7.89e-02    6.90e-02    1.6e-06
  34000      1.81e-01    1.22e-01      2.15e-02    1.42e-02      7.20e-02    7.07e-02    1.1e-06
  35000      1.93e-01    1.31e-01      1.96e-02    2.77e-03      9.29e-02    8.95e-02    1.1e-06
  36000      2.04e-01    2.85e-01      2.00e-02    6.60e-02      1.04e-01    6.41e-02    7.2e-07
  37000      2.07e-01    1.20e-01      2.52e-02    9.76e-04      8.40e-02    9.16e-02    7.2e-07
  38000      2.15e-01    1.75e-01      2.75e-02    1.32e-02      7.36e-02    1.13e-01    4.8e-07
  39000      1.27e-01    1.00e-01      1.22e-02    8.70e-03      7.74e-02    6.08e-02    4.8e-07
  40000      1.65e-01    1.99e-01      1.77e-02    9.80e-03      9.32e-02    1.63e-01    3.2e-07
  41000      1.85e-01    6.46e-02      2.19e-02    1.48e-03      5.77e-02    5.52e-02    3.2e-07
  42000      2.13e-01    1.25e-01      2.28e-02    2.51e-03      9.05e-02    1.12e-01    2.2e-07
  43000      1.34e-01    9.38e-02      1.71e-02    9.03e-03      4.33e-02    6.59e-02    2.2e-07
  44000      1.05e-01    8.36e-02      9.06e-03    9.97e-03      6.98e-02    3.00e-02    1.4e-07
  45000      1.63e-01    2.79e-01      1.82e-02    6.56e-02      9.35e-02    6.40e-02    1.4e-07
  46000      1.35e-01    1.04e-01      1.36e-02    4.58e-03      6.42e-02    9.25e-02    9.6e-08
  47000      1.04e-01    2.81e-01      9.42e-03    3.99e-02      7.39e-02    7.97e-02    9.6e-08
  48000      1.15e-01    3.09e-01      1.26e-02    4.41e-02      4.38e-02    5.95e-02    6.5e-08
  49000      1.65e-01    2.79e-01      2.14e-02    6.61e-02      6.50e-02    5.84e-02    6.5e-08
  50000      1.02e-01    1.24e-01      1.34e-02    2.34e-03      5.80e-02    1.20e-01    4.3e-08
