#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.52e+00    2.14e+00      2.46e-02    2.32e-02      7.98e-02    6.77e-02    1.0e-03
   1000      1.57e+00    1.89e+00      2.28e-02    2.14e-02      4.95e-02    5.98e-02    1.0e-03
   2000      2.50e+00    4.24e+00      2.29e-02    5.68e-02      8.97e-02    1.52e-01    7.8e-04
   3000      2.86e+00    8.80e-01      7.41e-02    1.20e-01      1.02e-01    2.66e-02    7.8e-04
   4000      1.64e+00    2.64e+00      5.05e-02    4.44e-03      6.58e-02    1.07e-01    6.1e-04
   5000      1.72e+00    1.75e+00      3.79e-02    3.26e-02      6.92e-02    7.06e-02    6.1e-04
   6000      1.53e+00    1.30e+00      5.41e-02    5.82e-03      6.82e-02    5.97e-02    4.7e-04
   7000      1.07e+00    6.54e-01      1.86e-02    7.52e-03      4.88e-02    3.01e-02    4.7e-04
   8000      1.27e+00    1.24e+00      2.83e-02    9.08e-02      6.47e-02    6.08e-02    3.7e-04
   9000      1.26e+00    1.75e+00      5.07e-02    4.53e-02      6.36e-02    9.07e-02    3.7e-04
  10000      2.11e+00    1.28e+00      7.13e-02    2.97e-02      1.21e-01    7.47e-02    2.8e-04
  11000      1.40e+00    5.86e-01      5.26e-02    1.25e-02      7.90e-02    3.42e-02    2.8e-04
  12000      9.66e-01    1.55e+00      3.87e-02    9.22e-03      6.25e-02    1.04e-01    2.2e-04
  13000      1.15e+00    1.52e+00      4.60e-02    6.58e-02      7.36e-02    9.90e-02    2.2e-04
  14000      8.23e-01    1.03e+00      4.43e-02    1.39e-02      5.47e-02    7.79e-02    1.7e-04
  15000      9.10e-01    5.04e-01      2.60e-02    1.39e-03      6.77e-02    3.83e-02    1.7e-04
  16000      9.85e-01    9.41e-01      5.07e-02    6.33e-02      7.56e-02    6.95e-02    1.3e-04
  17000      6.15e-01    7.43e-01      2.22e-02    3.31e-02      4.85e-02    6.28e-02    1.3e-04
  18000      4.46e-01    3.49e-01      2.03e-02    4.44e-02      4.05e-02    2.77e-02    1.0e-04
  19000      6.64e-01    8.99e-01      2.24e-02    1.04e-02      6.20e-02    8.76e-02    1.0e-04
  20000      8.29e-01    8.01e-01      4.58e-02    7.47e-02      8.27e-02    7.16e-02    8.1e-05
  21000      5.95e-01    5.23e-01      2.15e-02    2.56e-02      6.30e-02    5.30e-02    8.1e-05
  22000      6.80e-01    6.21e-01      2.34e-02    2.49e-02      8.21e-02    7.37e-02    6.3e-05
  23000      3.64e-01    1.17e+00      1.52e-02    1.89e-02      4.40e-02    1.45e-01    6.3e-05
  24000      7.84e-01    1.78e-01      2.13e-02    2.63e-03      1.09e-01    2.50e-02    4.9e-05
  25000      4.52e-01    6.84e-01      3.78e-02    5.43e-02      5.26e-02    8.23e-02    4.9e-05
  26000      5.75e-01    3.38e-01      2.95e-02    3.37e-03      8.79e-02    5.38e-02    3.8e-05
  27000      4.31e-01    6.17e-01      3.82e-02    8.12e-02      5.49e-02    5.55e-02    3.8e-05
  28000      3.90e-01    3.80e-01      1.80e-02    1.46e-03      6.31e-02    6.86e-02    3.0e-05
  29000      5.05e-01    4.65e-01      3.03e-02    9.46e-03      8.08e-02    8.32e-02    3.0e-05
  30000      3.65e-01    2.45e-01      3.09e-02    4.66e-02      5.65e-02    2.53e-02    2.3e-05
  31000      5.35e-01    1.55e-01      2.00e-02    6.00e-03      1.02e-01    3.02e-02    2.3e-05
  32000      3.31e-01    2.86e-01      1.14e-02    7.01e-03      7.27e-02    6.42e-02    1.8e-05
  33000      3.35e-01    3.21e-01      2.17e-02    4.83e-02      6.13e-02    5.73e-02    1.8e-05
  34000      2.40e-01    4.76e-01      2.29e-02    6.77e-02      3.76e-02    1.00e-01    1.4e-05
  35000      2.71e-01    3.09e-01      2.60e-02    4.75e-02      5.00e-02    5.85e-02    1.4e-05
  36000      2.40e-01    4.52e-01      1.81e-02    3.74e-02      5.53e-02    1.11e-01    1.1e-05
