#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.56e+00    2.64e+00      2.85e-02    5.93e-03      8.10e-02    8.36e-02    1.0e-03
   1000      1.86e+00    1.13e+00      4.73e-02    6.81e-04      5.86e-02    3.57e-02    1.0e-03
   2000      1.76e+00    2.19e+00      5.80e-02    1.43e-01      6.24e-02    7.78e-02    7.8e-04
   3000      2.44e+00    1.58e+00      9.82e-02    1.05e-01      8.64e-02    5.48e-02    7.8e-04
   4000      1.59e+00    3.29e+00      9.56e-02    1.18e-01      5.95e-02    1.32e-01    6.1e-04
   5000      1.76e+00    1.42e+00      2.79e-02    3.79e-03      7.11e-02    5.78e-02    6.1e-04
   6000      1.93e+00    1.70e+00      4.20e-02    7.16e-02      8.80e-02    7.56e-02    4.7e-04
   7000      1.85e+00    1.67e+00      3.64e-02    1.73e-01      8.51e-02    6.68e-02    4.7e-04
   8000      1.26e+00    1.54e+00      7.50e-02    1.90e-01      6.25e-02    7.32e-02    3.7e-04
   9000      1.87e+00    1.90e+00      1.40e-01    1.25e-01      8.27e-02    8.90e-02    3.7e-04
  10000      1.48e+00    1.12e+00      5.99e-02    1.17e-02      8.38e-02    6.64e-02    2.8e-04
  11000      1.16e+00    1.26e+00      5.97e-02    2.56e-02      6.29e-02    7.40e-02    2.8e-04
  12000      1.18e+00    1.36e+00      5.71e-02    7.40e-02      7.37e-02    8.88e-02    2.2e-04
  13000      1.31e+00    9.32e-01      3.77e-02    2.07e-02      8.64e-02    6.21e-02    2.2e-04
  14000      9.78e-01    1.25e+00      5.08e-02    5.46e-03      6.70e-02    9.49e-02    1.7e-04
  15000      9.90e-01    8.65e-01      8.10e-02    2.35e-02      6.22e-02    6.54e-02    1.7e-04
  16000      1.14e+00    8.70e-01      2.36e-02    1.33e-02      9.56e-02    7.46e-02    1.3e-04
  17000      1.62e+00    1.68e+00      8.57e-02    1.08e-01      1.30e-01    1.34e-01    1.3e-04
  18000      7.60e-01    7.64e-01      3.71e-02    3.07e-03      6.76e-02    7.45e-02    1.0e-04
  19000      1.20e+00    8.93e-01      3.45e-02    4.46e-02      1.13e-01    8.02e-02    1.0e-04
  20000      7.81e-01    9.33e-01      1.37e-02    9.48e-02      8.54e-02    6.13e-02    8.1e-05
  21000      1.02e+00    1.82e+00      2.73e-02    1.19e-01      1.10e-01    1.81e-01    8.1e-05
  22000      7.43e-01    7.05e-01      1.69e-02    1.97e-02      9.20e-02    8.60e-02    6.3e-05
  23000      4.98e-01    5.11e-01      3.64e-02    2.42e-02      5.09e-02    5.85e-02    6.3e-05
  24000      6.67e-01    3.53e-01      4.45e-02    1.49e-02      8.30e-02    4.72e-02    4.9e-05
  25000      6.15e-01    4.17e-01      3.64e-02    2.18e-02      7.61e-02    5.44e-02    4.9e-05
  26000      1.08e+00    4.97e-01      6.88e-02    1.69e-02      1.54e-01    7.74e-02    3.8e-05
  27000      6.13e-01    4.16e-01      5.14e-02    9.52e-03      6.88e-02    6.62e-02    3.8e-05
  28000      3.69e-01    3.94e-01      1.69e-02    4.03e-02      6.32e-02    5.23e-02    3.0e-05
  29000      3.33e-01    6.96e-01      3.01e-02    2.66e-02      4.70e-02    1.20e-01    3.0e-05
  30000      4.70e-01    4.65e-01      1.41e-02    6.26e-02      8.90e-02    7.31e-02    2.3e-05
  31000      4.59e-01    2.34e-01      1.02e-02    1.80e-02      9.26e-02    3.85e-02    2.3e-05
  32000      3.33e-01    3.11e-01      1.31e-02    4.38e-03      7.22e-02    7.14e-02    1.8e-05
  33000      3.26e-01    7.31e-01      1.41e-02    8.52e-02      7.11e-02    5.16e-02    1.8e-05
  34000      4.22e-01    5.87e-01      3.39e-02    4.01e-02      8.71e-02    1.34e-01    1.4e-05
  35000      9.88e-01    1.85e-01      9.59e-02    1.49e-02      1.87e-01    3.75e-02    1.4e-05
  36000      3.74e-01    1.71e+00      4.36e-02    2.57e-01      5.55e-02    6.29e-02    1.1e-05
  37000      3.14e-01    4.65e-01      3.22e-02    5.37e-02      6.12e-02    9.16e-02    1.1e-05
  38000      3.76e-01    3.13e-01      2.83e-02    2.50e-02      7.97e-02    8.49e-02    8.4e-06
  39000      3.78e-01    2.63e-01      5.29e-02    1.52e-02      6.17e-02    7.55e-02    8.4e-06
  40000      4.42e-01    1.50e-01      5.08e-02    4.18e-03      6.53e-02    5.42e-02    6.6e-06
  41000      4.37e-01    5.79e-01      4.81e-02    6.86e-02      5.52e-02    4.86e-02    6.6e-06
  42000      2.88e-01    2.87e-01      2.30e-02    3.11e-02      8.41e-02    7.71e-02    5.1e-06
  43000      2.42e-01    3.69e-01      1.68e-02    5.12e-02      8.24e-02    4.21e-02    5.1e-06
  44000      3.56e-01    2.10e-01      3.28e-02    1.79e-02      8.87e-02    6.24e-02    4.0e-06
  45000      2.83e-01    1.37e-01      2.85e-02    1.47e-02      7.72e-02    5.26e-02    4.0e-06
  46000      2.92e-01    3.01e-01      3.82e-02    3.23e-02      6.52e-02    5.01e-02    3.1e-06
  47000      2.04e-01    1.40e-01      1.97e-02    5.88e-03      6.33e-02    6.51e-02    3.1e-06
  48000      4.62e-01    1.73e-01      5.59e-02    1.31e-02      7.63e-02    8.39e-02    2.4e-06
  49000      3.05e-01    2.46e-01      2.38e-02    2.27e-02      1.05e-01    7.90e-02    2.4e-06
  50000      1.95e-01    4.95e-01      2.17e-02    5.64e-02      5.70e-02    1.01e-01    1.9e-06
  51000      1.95e-01    5.37e-01      1.79e-02    6.42e-02      8.24e-02    5.32e-02    1.9e-06
  52000      2.41e-01    1.31e-01      2.53e-02    2.26e-02      7.76e-02    4.96e-02    1.5e-06
  53000      2.13e-01    2.55e-01      2.36e-02    2.91e-02      7.83e-02    6.35e-02    1.5e-06
  54000      2.43e-01    1.08e-01      4.35e-02    1.60e-02      7.20e-02    5.30e-02    1.1e-06
  55000      3.57e-01    2.55e-01      4.56e-02    3.14e-02      1.31e-01    9.63e-02    1.1e-06
  56000      3.04e-01    2.37e-01      3.54e-02    4.79e-02      7.42e-02    6.49e-02    8.8e-07
  57000      1.87e-01    1.80e-01      1.94e-02    2.00e-02      7.85e-02    6.07e-02    8.8e-07
  58000      2.70e-01    1.04e-01      4.08e-02    1.22e-02      8.65e-02    3.31e-02    6.8e-07
  59000      2.19e-01    9.60e-02      2.62e-02    3.59e-03      6.31e-02    7.19e-02    6.8e-07
  60000      4.99e+00    9.31e-01      5.68e-01    1.89e-02      2.08e+00    7.43e-01    5.3e-07
  61000      1.32e-01    2.44e-01      8.68e-03    5.09e-02      9.35e-02    5.90e-02    5.3e-07
  62000      2.80e-01    4.06e-01      3.36e-02    9.43e-02      7.49e-02    5.58e-02    4.1e-07
  63000      2.34e-01    3.71e-01      2.59e-02    4.84e-02      7.23e-02    1.40e-01    4.1e-07
  64000      3.32e-01    1.31e-01      4.55e-02    2.20e-02      8.82e-02    7.07e-02    3.2e-07
  65000      2.95e-01    3.25e-01      3.86e-02    3.87e-02      9.43e-02    7.10e-02    3.2e-07
  66000      3.10e-01    3.81e-02      3.64e-02    2.61e-03      1.09e-01    2.89e-02    2.5e-07
  67000      3.11e-01    1.36e-01      4.40e-02    1.50e-02      7.99e-02    6.07e-02    2.5e-07
  68000      3.18e-01    2.26e-01      4.04e-02    4.26e-02      7.76e-02    8.89e-02    1.9e-07
  69000      2.49e-01    1.23e-01      3.10e-02    1.35e-02      5.85e-02    5.66e-02    1.9e-07
  70000      1.49e-01    3.31e-01      1.76e-02    4.05e-02      7.77e-02    8.25e-02    1.5e-07
  71000      2.97e-01    2.65e-01      3.46e-02    3.02e-02      7.16e-02    6.29e-02    1.5e-07
  72000      3.10e-01    3.55e-01      3.96e-02    4.88e-02      7.70e-02    1.03e-01    1.2e-07
  73000      1.65e-01    2.11e-01      1.85e-02    7.84e-03      7.29e-02    1.91e-01    1.2e-07
  74000      1.42e-01    1.55e-01      1.54e-02    2.26e-02      7.44e-02    7.14e-02    9.2e-08
  75000      1.75e-01    6.47e-01      2.31e-02    9.58e-02      9.25e-02    7.48e-02    9.2e-08
  76000      1.68e-01    2.33e-01      2.08e-02    5.05e-02      6.88e-02    2.84e-02    7.1e-08
  77000      3.33e-01    9.03e-02      4.65e-02    1.37e-02      6.39e-02    6.14e-02    7.1e-08
  78000      3.57e-01    9.80e-02      4.58e-02    1.37e-02      1.14e-01    7.21e-02    5.6e-08
  79000      2.06e-01    2.66e-01      2.43e-02    3.70e-02      9.41e-02    7.02e-02    5.6e-08
  80000      3.42e-01    9.91e-02      4.13e-02    1.69e-02      7.11e-02    5.56e-02    4.3e-08
