#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.89e+00    1.29e+00      2.50e-02    2.79e-03      5.96e-02    4.09e-02    1.0e-03
   1000      2.43e+00    2.21e+00      4.32e-02    5.38e-02      7.67e-02    6.98e-02    1.0e-03
   2000      7.77e+01    2.39e+00      7.35e-01    6.61e-02      2.79e+00    8.54e-02    7.8e-04
   3000      3.04e+00    5.62e+00      2.06e-01    4.94e-02      1.06e-01    2.01e-01    7.8e-04
   4000      2.80e+00    4.24e+00      1.43e-01    1.22e-02      1.09e-01    1.72e-01    6.1e-04
   5000      2.98e+00    4.47e+00      1.36e-01    3.66e-02      1.18e-01    1.81e-01    6.1e-04
   6000      1.51e+00    2.33e+00      5.80e-02    3.77e-02      6.68e-02    1.07e-01    4.7e-04
   7000      1.67e+00    1.06e+00      5.41e-02    1.90e-01      7.49e-02    3.98e-02    4.7e-04
   8000      2.76e+00    1.69e+00      6.66e-02    1.06e-01      1.43e-01    8.06e-02    3.7e-04
   9000      1.60e+00    8.85e-01      2.32e-02    2.56e-02      8.34e-02    4.53e-02    3.7e-04
  10000      8.63e-01    1.67e+00      1.99e-02    8.31e-02      5.06e-02    9.29e-02    2.8e-04
  11000      1.34e+00    1.21e+00      5.54e-02    1.15e-01      7.51e-02    5.32e-02    2.8e-04
  12000      1.50e+00    1.39e+00      6.80e-02    6.37e-02      9.75e-02    9.16e-02    2.2e-04
  13000      1.52e+00    1.00e+00      4.31e-02    7.71e-02      9.92e-02    6.39e-02    2.2e-04
  14000      1.56e+00    6.81e-01      6.85e-02    8.42e-02      1.13e-01    4.39e-02    1.7e-04
  15000      9.77e-01    5.85e-01      2.55e-02    1.27e-02      7.29e-02    4.43e-02    1.7e-04
  16000      1.10e+00    9.24e-01      6.62e-02    4.60e-02      8.44e-02    7.59e-02    1.3e-04
  17000      1.25e+00    2.15e+00      2.63e-02    6.21e-02      1.06e-01    1.82e-01    1.3e-04
  18000      8.56e-01    8.89e-01      1.55e-02    6.19e-03      8.26e-02    8.66e-02    1.0e-04
  19000      5.00e-01    7.85e-01      2.86e-02    3.13e-02      4.54e-02    7.43e-02    1.0e-04
  20000      1.02e+00    1.30e+00      7.42e-02    5.49e-02      8.10e-02    1.38e-01    8.1e-05
  21000      8.13e-01    1.04e+00      6.37e-02    1.68e-02      6.73e-02    1.15e-01    8.1e-05
  22000      5.97e-01    5.90e-01      3.59e-02    3.26e-02      6.30e-02    6.65e-02    6.3e-05
  23000      8.31e-01    9.46e-01      4.43e-02    5.49e-02      9.05e-02    1.09e-01    6.3e-05
  24000      7.26e-01    7.35e-01      5.16e-02    3.20e-02      8.94e-02    9.96e-02    4.9e-05
  25000      5.61e-01    3.17e-01      3.43e-02    8.03e-04      7.06e-02    4.49e-02    4.9e-05
  26000      4.53e-01    3.64e-01      2.68e-02    5.74e-02      6.22e-02    3.81e-02    3.8e-05
  27000      5.37e-01    6.85e-01      1.97e-02    5.12e-02      7.97e-02    1.02e-01    3.8e-05
  28000      4.43e-01    6.89e-01      2.69e-02    6.35e-02      6.88e-02    8.39e-02    3.0e-05
  29000      4.95e-01    4.79e-01      3.06e-02    5.60e-02      7.64e-02    7.22e-02    3.0e-05
  30000      3.86e-01    5.95e-01      2.25e-02    4.07e-02      7.01e-02    1.08e-01    2.3e-05
  31000      4.95e-01    6.02e-01      3.88e-02    4.68e-02      7.26e-02    9.60e-02    2.3e-05
  32000      4.24e-01    3.48e-01      4.10e-02    2.04e-02      6.51e-02    6.94e-02    1.8e-05
  33000      3.17e-01    5.96e-01      1.66e-02    8.33e-02      6.44e-02    5.73e-02    1.8e-05
  34000      4.11e-01    3.78e-01      3.81e-02    3.37e-02      6.80e-02    7.71e-02    1.4e-05
  35000      5.96e-01    2.93e-01      3.18e-02    8.82e-03      1.30e-01    7.34e-02    1.4e-05
  36000      4.25e-01    2.83e-01      3.69e-02    3.31e-02      7.99e-02    5.13e-02    1.1e-05
  37000      4.60e-01    5.30e-01      4.00e-02    2.04e-02      8.71e-02    1.51e-01    1.1e-05
  38000      4.26e-01    6.45e-01      3.26e-02    9.54e-02      1.12e-01    6.27e-02    8.4e-06
  39000      3.73e-01    1.46e-01      3.34e-02    1.80e-04      7.74e-02    4.76e-02    8.4e-06
  40000      4.23e-01    5.64e-01      4.87e-02    7.87e-02      6.21e-02    1.13e-01    6.6e-06
  41000      3.43e-01    3.00e-01      3.28e-02    2.29e-02      7.19e-02    8.56e-02    6.6e-06
  42000      3.05e-01    3.36e-01      3.60e-02    3.88e-02      6.40e-02    5.06e-02    5.1e-06
  43000      3.08e-01    3.38e-01      3.52e-02    1.17e-02      6.55e-02    1.31e-01    5.1e-06
  44000      3.06e-01    1.82e-01      2.63e-02    1.94e-03      8.53e-02    8.15e-02    4.0e-06
  45000      5.55e-01    5.21e-01      4.92e-02    3.63e-02      1.87e-01    2.09e-01    4.0e-06
  46000      3.01e-01    2.59e-01      3.27e-02    3.55e-02      7.91e-02    5.02e-02    3.1e-06
  47000      4.22e-01    3.35e-01      4.33e-02    4.68e-02      1.28e-01    8.41e-02    3.1e-06
  48000      2.31e-01    1.29e-01      2.26e-02    8.11e-03      7.67e-02    5.80e-02    2.4e-06
  49000      2.53e-01    1.84e-01      2.58e-02    9.58e-03      8.10e-02    8.88e-02    2.4e-06
  50000      2.70e-01    5.41e-01      2.81e-02    8.34e-02      9.57e-02    5.23e-02    1.9e-06
  51000      2.63e-01    4.10e-01      2.51e-02    5.62e-02      1.03e-01    8.31e-02    1.9e-06
  52000      1.81e-01    4.08e-01      2.31e-02    4.73e-02      7.53e-02    8.31e-02    1.5e-06
  53000      2.64e-01    3.25e-01      2.84e-02    3.80e-02      9.33e-02    6.97e-02    1.5e-06
  54000      2.39e-01    1.54e-01      2.59e-02    1.75e-02      7.49e-02    7.36e-02    1.1e-06
  55000      3.13e-01    1.22e-01      5.18e-02    1.70e-02      1.06e-01    6.37e-02    1.1e-06
  56000      1.69e-01    1.33e-01      1.73e-02    9.59e-04      8.23e-02    9.70e-02    8.8e-07
  57000      2.39e-01    9.64e-02      2.93e-02    8.02e-03      7.29e-02    5.45e-02    8.8e-07
  58000      1.41e-01    1.31e-01      9.58e-03    2.17e-02      8.73e-02    6.12e-02    6.8e-07
  59000      1.45e-01    3.70e-01      1.57e-02    8.41e-02      7.01e-02    7.72e-02    6.8e-07
  60000      1.21e-01    1.14e-01      9.75e-03    1.51e-02      7.67e-02    7.22e-02    5.3e-07
  61000      2.74e-01    2.22e-01      2.97e-02    2.38e-02      7.32e-02    6.32e-02    5.3e-07
  62000      2.89e-01    2.01e-01      3.37e-02    3.87e-02      6.63e-02    6.49e-02    4.1e-07
  63000      1.72e-01    3.41e-01      1.74e-02    3.77e-02      8.80e-02    7.53e-02    4.1e-07
  64000      2.42e-01    2.13e-01      2.76e-02    2.20e-02      1.06e-01    8.13e-02    3.2e-07
  65000      1.43e-01    3.98e-01      1.34e-02    4.82e-02      8.92e-02    7.49e-02    3.2e-07
  66000      3.46e-01    6.11e-02      4.48e-02    9.49e-04      1.09e-01    5.42e-02    2.5e-07
  67000      2.35e-01    2.21e-01      2.68e-02    4.31e-02      8.83e-02    7.07e-02    2.5e-07
  68000      2.85e-01    1.17e-01      3.59e-02    1.89e-03      8.33e-02    1.06e-01    1.9e-07
  69000      1.54e-01    2.86e-01      1.98e-02    5.67e-02      8.22e-02    6.09e-02    1.9e-07
  70000      2.26e-01    2.79e-01      2.68e-02    5.21e-02      9.74e-02    1.06e-01    1.5e-07
  71000      1.83e-01    1.24e-01      2.35e-02    1.35e-02      7.16e-02    7.96e-02    1.5e-07
  72000      2.07e-01    5.62e-01      2.46e-02    9.14e-02      9.74e-02    1.18e-01    1.2e-07
  73000      4.49e-01    1.05e-01      5.87e-02    2.33e-04      7.19e-02    9.97e-02    1.2e-07
  74000      2.22e-01    2.33e-01      2.99e-02    2.45e-02      9.21e-02    1.63e-01    9.2e-08
  75000      2.20e-01    9.14e-02      2.48e-02    9.04e-03      7.85e-02    5.56e-02    9.2e-08
  76000      2.40e-01    1.61e-01      3.19e-02    1.55e-02      1.33e-01    8.08e-02    7.1e-08
  77000      8.09e-02    4.44e-01      5.37e-03    6.62e-02      6.73e-02    9.05e-02    7.1e-08
  78000      2.48e-01    2.03e-01      3.45e-02    2.58e-02      1.41e-01    9.37e-02    5.6e-08
  79000      3.03e-01    1.38e-01      3.73e-02    1.56e-02      8.62e-02    9.18e-02    5.6e-08
  80000      1.46e-01    1.05e-01      1.91e-02    9.30e-03      8.30e-02    6.47e-02    4.3e-08
