#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.91e+00    2.09e+00      7.81e-03    5.95e-03      6.03e-02    6.61e-02    1.0e-03
   1000      2.85e+00    2.32e+00      4.47e-02    6.37e-02      9.02e-02    7.33e-02    1.0e-03
   2000      2.98e+00    2.31e+00      5.05e-02    1.16e-01      1.06e-01    8.11e-02    7.8e-04
   3000      3.19e+00    5.03e+00      2.52e-02    1.66e-01      1.14e-01    1.79e-01    7.8e-04
   4000      3.69e+00    2.50e+00      5.38e-02    7.06e-02      1.50e-01    1.00e-01    6.1e-04
   5000      1.65e+00    1.38e+00      2.33e-02    3.47e-02      6.68e-02    5.56e-02    6.1e-04
   6000      1.25e+00    1.04e+00      2.54e-02    1.74e-02      5.72e-02    4.79e-02    4.7e-04
   7000      1.47e+00    4.41e+00      4.21e-02    1.41e-01      6.59e-02    2.02e-01    4.7e-04
   8000      1.20e+00    1.37e+00      6.56e-02    1.09e-01      5.74e-02    6.08e-02    3.7e-04
   9000      1.78e+00    1.14e+00      3.93e-02    2.00e-02      9.13e-02    5.91e-02    3.7e-04
  10000      1.91e+00    8.07e-01      5.26e-02    3.37e-02      1.11e-01    4.64e-02    2.8e-04
  11000      1.86e+00    1.56e+00      2.77e-02    7.95e-02      1.10e-01    9.03e-02    2.8e-04
  12000      1.13e+00    9.67e-01      4.10e-02    2.58e-02      7.31e-02    6.35e-02    2.2e-04
  13000      1.61e+00    1.47e+00      3.65e-02    4.90e-02      1.05e-01    9.73e-02    2.2e-04
  14000      1.00e+00    9.68e-01      5.72e-02    3.91e-02      6.47e-02    7.03e-02    1.7e-04
  15000      1.01e+00    1.04e+00      3.01e-02    9.14e-02      7.55e-02    6.03e-02    1.7e-04
  16000      1.42e+00    1.42e+00      8.99e-02    9.93e-02      1.10e-01    1.04e-01    1.3e-04
  17000      1.02e+00    9.35e-01      4.59e-02    7.00e-02      8.11e-02    6.66e-02    1.3e-04
  18000      1.07e+00    5.80e-01      6.01e-02    1.68e-02      8.19e-02    5.53e-02    1.0e-04
  19000      9.51e-01    1.04e+00      6.32e-02    1.36e-02      7.92e-02    1.01e-01    1.0e-04
  20000      7.81e-01    1.31e+00      2.12e-02    2.60e-02      8.45e-02    1.44e-01    8.1e-05
  21000      1.03e+00    1.20e+00      7.14e-02    1.47e-02      8.37e-02    1.32e-01    8.1e-05
  22000      9.27e-01    9.69e-01      4.08e-02    1.35e-01      1.10e-01    5.92e-02    6.3e-05
  23000      1.17e+00    7.58e-01      6.94e-02    6.62e-02      1.33e-01    6.88e-02    6.3e-05
  24000      6.21e-01    3.91e-01      4.40e-02    2.50e-02      7.23e-02    4.85e-02    4.9e-05
  25000      5.97e-01    7.89e-01      2.48e-02    7.25e-02      7.93e-02    9.02e-02    4.9e-05
  26000      6.33e-01    4.39e-01      5.19e-02    1.78e-02      6.66e-02    6.67e-02    3.8e-05
  27000      1.16e+00    8.08e-01      8.63e-02    2.99e-02      1.60e-01    1.25e-01    3.8e-05
  28000      6.99e-01    4.02e-01      6.48e-02    1.90e-02      6.94e-02    6.78e-02    3.0e-05
  29000      3.89e-01    3.91e-01      1.83e-02    3.53e-03      6.42e-02    7.04e-02    3.0e-05
  30000      3.59e-01    4.20e-01      2.70e-02    1.43e-02      5.76e-02    8.45e-02    2.3e-05
  31000      3.85e-01    3.79e-01      2.45e-02    5.49e-02      5.83e-02    5.84e-02    2.3e-05
  32000      4.94e-01    2.57e-01      4.65e-02    2.21e-03      7.31e-02    5.90e-02    1.8e-05
  33000      3.48e-01    3.50e-01      2.15e-02    5.12e-02      6.76e-02    6.00e-02    1.8e-05
  34000      4.12e-01    2.92e-01      3.28e-02    1.36e-02      8.78e-02    7.01e-02    1.4e-05
  35000      3.37e-01    1.18e+00      1.93e-02    1.63e-01      8.25e-02    1.17e-01    1.4e-05
  36000      5.00e-01    3.62e-01      4.08e-02    3.09e-02      9.69e-02    7.88e-02    1.1e-05
  37000      3.28e-01    4.82e-01      2.84e-02    6.56e-02      7.14e-02    7.95e-02    1.1e-05
  38000      3.27e-01    1.80e-01      3.25e-02    5.70e-03      6.60e-02    5.69e-02    8.4e-06
  39000      4.22e-01    2.68e-01      4.44e-02    1.10e-02      8.62e-02    8.26e-02    8.4e-06
  40000      3.71e-01    3.17e-01      2.32e-02    5.57e-02      1.18e-01    6.85e-02    6.6e-06
  41000      2.96e-01    1.75e-01      1.75e-02    6.16e-03      9.30e-02    6.19e-02    6.6e-06
  42000      4.27e-01    7.49e-01      2.05e-02    1.16e-01      1.54e-01    1.07e-01    5.1e-06
  43000      3.48e-01    2.16e-01      2.88e-02    1.04e-02      1.05e-01    8.31e-02    5.1e-06
  44000      2.27e-01    4.90e-01      2.28e-02    7.32e-02      7.72e-02    6.62e-02    4.0e-06
  45000      2.83e-01    6.03e-01      2.77e-02    5.70e-02      7.19e-02    2.05e-01    4.0e-06
  46000      1.78e-01    2.37e-01      1.04e-02    2.11e-02      7.33e-02    7.35e-02    3.1e-06
  47000      2.49e-01    2.01e-01      2.34e-02    9.91e-03      9.50e-02    9.47e-02    3.1e-06
  48000      2.99e-01    2.34e-01      3.56e-02    1.78e-02      7.49e-02    9.56e-02    2.4e-06
  49000      2.39e-01    2.52e-01      2.21e-02    2.25e-02      7.95e-02    8.38e-02    2.4e-06
  50000      3.09e-01    3.21e-01      3.92e-02    6.87e-02      8.86e-02    7.91e-02    1.9e-06
  51000      4.39e-01    4.99e-01      5.69e-02    7.37e-02      8.11e-02    9.62e-02    1.9e-06
  52000      3.90e+00    1.16e-01      3.92e-01    2.69e-03      1.59e+00    7.30e-02    1.5e-06
  53000      1.83e-01    4.05e-01      3.05e-02    6.03e-02      7.44e-02    7.85e-02    1.5e-06
  54000      2.42e-01    4.54e-01      2.48e-02    6.57e-02      7.45e-02    6.20e-02    1.1e-06
  55000      2.91e-01    2.33e-01      3.91e-02    3.41e-02      5.90e-02    5.12e-02    1.1e-06
  56000      3.54e-01    1.12e-01      4.87e-02    1.42e-02      1.04e-01    6.62e-02    8.8e-07
  57000      3.24e-01    1.57e-01      5.04e-02    1.23e-02      8.81e-02    9.06e-02    8.8e-07
  58000      3.49e-01    2.23e-01      4.38e-02    3.00e-02      7.49e-02    9.66e-02    6.8e-07
  59000      1.65e-01    2.61e-01      1.65e-02    2.92e-02      7.52e-02    8.72e-02    6.8e-07
  60000      1.89e-01    1.79e-01      1.99e-02    2.31e-02      9.18e-02    6.63e-02    5.3e-07
  61000      3.21e-01    1.64e-01      3.49e-02    1.68e-02      1.02e-01    8.02e-02    5.3e-07
  62000      2.53e-01    2.44e-01      3.12e-02    5.23e-02      9.27e-02    5.84e-02    4.1e-07
  63000      2.88e-01    3.01e-01      3.82e-02    3.67e-02      7.61e-02    5.52e-02    4.1e-07
