#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.77e-01    6.83e-01      3.78e-02    9.50e-02      8.65e-03    2.15e-02    1.0e-03
   1000      2.29e-01    3.30e-01      1.80e-02    9.48e-02      7.21e-03    1.01e-02    1.0e-03
   2000      4.08e-01    3.62e-01      6.87e-02    4.94e-02      9.49e-03    9.87e-03    6.7e-04
   3000      2.99e-01    3.17e-01      3.68e-02    3.79e-02      1.03e-02    1.02e-02    6.7e-04
   4000      4.61e-01    2.59e-01      6.75e-02    1.74e-02      1.34e-02    1.12e-02    4.5e-04
   5000      4.49e-01    2.68e-01      7.13e-02    3.78e-02      1.04e-02    1.11e-02    4.5e-04
   6000      3.85e-01    3.12e-01      5.22e-02    4.15e-02      8.66e-03    1.16e-02    3.0e-04
   7000      4.33e-01    3.30e-01      5.89e-02    7.49e-02      1.05e-02    7.72e-03    3.0e-04
   8000      2.11e-01    5.78e-01      1.92e-02    7.33e-02      1.14e-02    1.16e-02    2.0e-04
   9000      3.92e-01    7.44e-01      4.76e-02    1.78e-01      1.24e-02    2.15e-02    2.0e-04
  10000      2.82e-01    1.84e-01      2.95e-02    2.12e-02      1.23e-02    1.37e-02    1.3e-04
  11000      2.59e-01    1.99e-01      2.73e-02    9.44e-03      1.34e-02    1.59e-02    1.3e-04
  12000      3.42e-01    2.40e-01      3.96e-02    2.70e-02      1.59e-02    1.34e-02    9.0e-05
  13000      3.96e-01    2.93e-01      5.92e-02    3.19e-02      1.53e-02    1.71e-02    9.0e-05
  14000      5.06e-01    3.03e-01      7.46e-02    3.83e-02      1.99e-02    2.04e-02    6.0e-05
  15000      2.63e-01    4.55e-01      3.08e-02    6.62e-02      1.72e-02    2.19e-02    6.0e-05
  16000      3.39e-01    1.63e-01      4.50e-02    2.64e-02      1.83e-02    1.70e-02    4.0e-05
  17000      2.84e-01    1.58e-01      3.57e-02    9.29e-03      1.77e-02    2.13e-02    4.0e-05
  18000      1.56e-01    1.09e-01      1.05e-02    8.42e-03      2.15e-02    1.65e-02    2.7e-05
  19000      3.20e-01    3.16e-01      4.55e-02    3.78e-02      2.15e-02    2.35e-02    2.7e-05
  20000      1.84e-01    1.26e-01      2.06e-02    1.06e-02      2.07e-02    2.16e-02    1.8e-05
  21000      2.43e-01    1.66e-01      2.90e-02    1.10e-02      2.09e-02    3.14e-02    1.8e-05
  22000      2.00e-01    1.55e-01      2.25e-02    1.60e-02      2.13e-02    2.06e-02    1.2e-05
  23000      1.87e-01    2.14e-01      2.16e-02    4.66e-02      2.30e-02    1.97e-02    1.2e-05
  24000      2.92e-01    4.62e-01      3.64e-02    7.68e-02      2.18e-02    1.72e-02    8.0e-06
  25000      2.71e-01    7.62e-02      4.15e-02    9.70e-04      2.49e-02    2.52e-02    8.0e-06
  26000      2.80e-01    8.32e-02      4.00e-02    6.29e-03      2.61e-02    2.63e-02    5.4e-06
  27000      2.30e-01    4.51e-01      2.95e-02    7.50e-02      2.90e-02    1.93e-02    5.4e-06
  28000      2.16e-01    3.58e-01      2.75e-02    5.25e-02      3.01e-02    4.76e-02    3.6e-06
  29000      2.07e-01    6.64e-02      2.37e-02    3.06e-03      2.62e-02    2.88e-02    3.6e-06
  30000      2.66e-01    5.56e-02      3.10e-02    4.34e-03      3.57e-02    2.31e-02    2.4e-06
  31000      1.37e-01    1.12e-01      1.86e-02    1.61e-02      2.65e-02    2.15e-02    2.4e-06
  32000      1.27e-01    1.29e-01      1.74e-02    1.46e-02      3.10e-02    3.17e-02    1.6e-06
  33000      2.21e-01    1.92e-01      2.68e-02    2.78e-02      3.27e-02    3.86e-02    1.6e-06
  34000      1.23e-01    3.80e-01      2.03e-02    5.90e-02      3.59e-02    2.79e-02    1.1e-06
  35000      1.15e-01    2.04e-01      1.71e-02    2.58e-02      2.76e-02    2.88e-02    1.1e-06
  36000      4.29e-02    4.74e-02      3.93e-03    9.76e-04      2.74e-02    3.58e-02    7.2e-07
  37000      2.12e-01    8.25e-02      2.49e-02    6.96e-03      2.87e-02    4.30e-02    7.2e-07
  38000      1.07e-01    6.80e-02      1.43e-02    7.26e-03      3.48e-02    4.77e-02    4.8e-07
  39000      2.65e-01    4.92e-02      3.38e-02    3.61e-03      3.15e-02    3.26e-02    4.8e-07
  40000      2.19e-01    3.89e-02      3.73e-02    2.34e-03      4.39e-02    2.98e-02    3.2e-07
  41000      1.14e-01    3.78e-01      1.31e-02    8.84e-02      3.46e-02    4.07e-02    3.2e-07
  42000      1.92e-01    7.71e-02      2.60e-02    8.22e-03      2.74e-02    2.98e-02    2.2e-07
  43000      1.25e-01    3.63e-01      1.41e-02    7.25e-02      3.29e-02    7.01e-02    2.2e-07
  44000      2.79e-01    1.10e-01      3.59e-02    1.33e-02      3.17e-02    3.14e-02    1.4e-07
  45000      1.93e-01    2.01e-01      3.36e-02    4.37e-02      3.00e-02    1.76e-02    1.4e-07
  46000      2.84e-01    4.27e-01      3.95e-02    8.59e-02      2.91e-02    6.81e-02    9.6e-08
  47000      3.65e-01    2.00e-01      4.99e-02    4.34e-02      3.60e-02    1.76e-02    9.6e-08
  48000      1.73e-01    4.96e-02      2.66e-02    8.43e-03      4.02e-02    2.91e-02    6.5e-08
  49000      2.21e-01    3.76e-02      3.04e-02    3.42e-03      3.74e-02    3.31e-02    6.5e-08
  50000      1.50e-01    1.11e-01      1.94e-02    1.25e-02      3.76e-02    2.94e-02    4.3e-08
