#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.99e-01    3.82e-01      3.82e-02    4.93e-02      9.34e-03    1.20e-02    1.0e-03
   1000      3.15e-01    1.51e-01      2.93e-02    2.79e-03      9.87e-03    4.76e-03    1.0e-03
   2000      2.92e-01    3.51e-01      4.36e-02    7.24e-02      7.70e-03    7.60e-03    6.7e-04
   3000      4.81e-01    2.74e-01      7.84e-02    4.71e-03      1.29e-02    1.06e-02    6.7e-04
   4000      3.39e-01    1.88e-01      4.43e-02    3.02e-02      9.69e-03    7.38e-03    4.5e-04
   5000      4.77e-01    7.79e-01      6.39e-02    2.27e-01      1.17e-02    1.39e-02    4.5e-04
   6000      3.72e-01    2.02e-01      5.94e-02    2.71e-02      1.38e-02    9.94e-03    3.0e-04
   7000      3.53e-01    1.74e-01      3.93e-02    8.02e-03      1.34e-02    9.90e-03    3.0e-04
   8000      3.33e-01    1.30e-01      3.99e-02    1.63e-02      1.25e-02    7.90e-03    2.0e-04
   9000      3.10e-01    4.25e-01      3.07e-02    5.27e-02      1.36e-02    1.63e-02    2.0e-04
  10000      4.34e-01    2.61e-01      5.37e-02    2.07e-02      1.34e-02    2.09e-02    1.3e-04
  11000      2.65e-01    2.05e-01      2.83e-02    2.64e-02      1.37e-02    1.43e-02    1.3e-04
  12000      1.64e-01    3.48e-01      8.41e-03    4.12e-02      1.46e-02    1.44e-02    9.0e-05
  13000      3.77e-01    1.46e-01      5.75e-02    4.12e-03      1.47e-02    1.52e-02    9.0e-05
  14000      1.97e-01    1.53e-01      1.75e-02    1.24e-02      1.68e-02    1.41e-02    6.0e-05
  15000      2.96e-01    1.34e+00      3.14e-02    2.08e-01      1.73e-02    1.29e-02    6.0e-05
  16000      3.19e-01    1.30e-01      3.61e-02    1.09e-02      1.77e-02    1.87e-02    4.0e-05
  17000      2.55e-01    1.62e-01      3.32e-02    1.37e-02      1.80e-02    1.77e-02    4.0e-05
  18000      1.57e-01    8.14e-02      1.37e-02    4.25e-03      1.87e-02    1.50e-02    2.7e-05
  19000      3.31e-01    1.86e-01      4.10e-02    1.90e-02      2.11e-02    2.01e-02    2.7e-05
  20000      2.64e-01    2.33e-01      3.69e-02    2.51e-02      1.99e-02    1.91e-02    1.8e-05
  21000      2.71e-01    1.40e-01      3.61e-02    1.73e-02      1.95e-02    2.01e-02    1.8e-05
  22000      1.37e-01    8.30e-02      1.20e-02    1.45e-03      2.26e-02    2.30e-02    1.2e-05
  23000      2.24e-01    7.65e-02      2.86e-02    7.78e-03      2.29e-02    1.87e-02    1.2e-05
  24000      2.80e-01    4.30e-01      3.29e-02    6.52e-02      2.67e-02    1.99e-02    8.0e-06
  25000      2.65e-01    3.45e-01      3.04e-02    4.13e-02      2.40e-02    2.03e-02    8.0e-06
  26000      1.67e-01    2.12e-01      2.00e-02    3.03e-02      2.59e-02    2.94e-02    5.4e-06
  27000      1.37e-01    3.99e-01      1.29e-02    5.92e-02      2.82e-02    3.85e-02    5.4e-06
  28000      3.48e-01    4.51e-01      4.75e-02    5.87e-02      2.79e-02    4.29e-02    3.6e-06
  29000      1.52e-01    1.24e-01      1.80e-02    1.49e-02      2.63e-02    4.71e-02    3.6e-06
  30000      2.88e-01    3.89e-01      4.24e-02    6.03e-02      2.67e-02    2.73e-02    2.4e-06
  31000      2.07e-01    3.63e-01      2.72e-02    5.62e-02      2.58e-02    2.86e-02    2.4e-06
  32000      1.20e-01    1.34e-01      1.50e-02    2.81e-02      3.10e-02    3.44e-02    1.6e-06
  33000      1.41e-01    1.61e-01      1.72e-02    1.68e-02      2.89e-02    3.98e-02    1.6e-06
  34000      9.98e-02    9.33e-02      1.03e-02    1.28e-02      2.86e-02    3.55e-02    1.1e-06
  35000      2.35e-01    8.05e-01      3.02e-02    1.34e-01      3.20e-02    2.77e-02    1.1e-06
  36000      1.07e-01    3.58e-02      1.56e-02    4.45e-03      3.92e-02    2.22e-02    7.2e-07
  37000      1.42e-01    1.27e-01      1.95e-02    2.48e-02      3.07e-02    3.97e-02    7.2e-07
  38000      2.24e-01    8.35e-02      2.92e-02    8.49e-03      3.03e-02    3.11e-02    4.8e-07
  39000      2.95e-01    5.12e-02      4.51e-02    4.46e-03      3.10e-02    3.06e-02    4.8e-07
  40000      1.56e-01    4.09e-02      1.82e-02    2.48e-04      2.85e-02    3.55e-02    3.2e-07
  41000      2.13e-01    2.72e-01      3.38e-02    3.86e-02      3.74e-02    4.01e-02    3.2e-07
  42000      3.42e-01    2.83e-01      4.74e-02    5.66e-02      3.94e-02    7.15e-02    2.2e-07
  43000      1.16e-01    4.33e-02      1.57e-02    3.93e-03      2.86e-02    2.68e-02    2.2e-07
  44000      2.83e-01    3.29e-02      4.97e-02    7.19e-04      3.60e-02    3.03e-02    1.4e-07
  45000      2.29e-01    1.71e-01      3.33e-02    2.07e-02      3.84e-02    3.47e-02    1.4e-07
  46000      7.28e-02    3.33e-01      8.12e-03    5.18e-02      2.93e-02    3.17e-02    9.6e-08
  47000      4.43e-01    1.58e-01      6.99e-02    1.92e-02      2.97e-02    3.07e-02    9.6e-08
  48000      1.79e-01    2.78e-01      2.32e-02    4.27e-02      3.05e-02    2.57e-02    6.5e-08
  49000      1.90e-01    3.55e-02      2.64e-02    2.63e-03      3.43e-02    2.78e-02    6.5e-08
  50000      2.24e-01    3.56e-01      2.94e-02    4.37e-02      3.54e-02    2.22e-02    4.3e-08
