#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.73e-01    2.28e-01      2.82e-02    7.75e-02      1.18e-02    6.92e-03    1.0e-03
   1000      3.11e-01    1.44e-01      3.95e-02    1.64e-02      9.73e-03    4.53e-03    1.0e-03
   2000      3.20e-01    2.79e-01      4.53e-02    6.79e-03      9.90e-03    1.07e-02    6.7e-04
   3000      3.53e-01    3.93e-01      4.77e-02    6.37e-02      9.30e-03    8.51e-03    6.7e-04
   4000      2.31e-01    6.91e-01      2.75e-02    1.11e-01      7.90e-03    6.73e-03    4.5e-04
   5000      2.91e-01    2.03e-01      3.18e-02    1.62e-03      1.00e-02    9.58e-03    4.5e-04
   6000      4.37e-01    3.73e-01      5.37e-02    5.19e-02      1.12e-02    1.01e-02    3.0e-04
   7000      5.26e-01    5.26e-01      6.01e-02    7.08e-02      1.52e-02    1.29e-02    3.0e-04
   8000      3.79e-01    1.90e-01      4.43e-02    1.53e-02      1.24e-02    1.09e-02    2.0e-04
   9000      3.39e-01    3.08e-01      3.95e-02    4.08e-02      1.40e-02    1.24e-02    2.0e-04
  10000      3.46e-01    1.38e-01      4.02e-02    2.77e-03      1.34e-02    1.18e-02    1.3e-04
  11000      3.69e-01    2.29e-01      4.09e-02    2.00e-02      1.52e-02    1.44e-02    1.3e-04
  12000      2.73e-01    2.43e-01      2.79e-02    2.25e-02      1.59e-02    1.60e-02    9.0e-05
  13000      3.21e-01    4.05e-01      3.18e-02    6.67e-02      1.77e-02    1.05e-02    9.0e-05
  14000      3.59e-01    2.97e-01      4.33e-02    4.23e-02      1.80e-02    1.33e-02    6.0e-05
  15000      3.14e-01    2.50e-01      3.75e-02    2.91e-02      1.70e-02    2.00e-02    6.0e-05
  16000      4.08e-01    1.44e-01      5.52e-02    1.12e-03      2.13e-02    2.24e-02    4.0e-05
  17000      3.34e-01    3.16e-01      4.33e-02    3.65e-02      1.89e-02    1.95e-02    4.0e-05
  18000      2.52e-01    3.71e-01      3.21e-02    4.41e-02      2.05e-02    1.78e-02    2.7e-05
  19000      1.65e-01    9.78e-02      1.57e-02    8.72e-03      1.91e-02    1.69e-02    2.7e-05
  20000      1.73e-01    3.69e-01      1.86e-02    4.58e-02      2.06e-02    2.40e-02    1.8e-05
  21000      2.06e-01    2.80e-01      1.98e-02    3.29e-02      2.14e-02    1.96e-02    1.8e-05
  22000      2.05e-01    1.31e-01      3.67e-02    1.93e-02      2.39e-02    1.75e-02    1.2e-05
  23000      2.96e-01    1.32e-01      4.17e-02    1.19e-02      2.19e-02    2.48e-02    1.2e-05
  24000      2.97e-01    8.72e-02      3.53e-02    4.63e-03      2.93e-02    2.58e-02    8.0e-06
  25000      4.39e-01    2.45e-01      6.52e-02    2.88e-02      2.20e-02    2.35e-02    8.0e-06
  26000      2.95e-01    1.52e-01      3.87e-02    1.73e-02      2.91e-02    2.58e-02    5.4e-06
  27000      1.37e-01    6.57e-02      1.74e-02    3.20e-04      2.73e-02    2.60e-02    5.4e-06
  28000      1.90e-01    2.25e-01      2.34e-02    2.79e-02      2.88e-02    2.70e-02    3.6e-06
  29000      2.56e-01    4.71e-02      3.19e-02    2.56e-03      3.12e-02    2.13e-02    3.6e-06
  30000      2.10e-01    2.83e-01      2.99e-02    3.47e-02      2.57e-02    2.98e-02    2.4e-06
  31000      3.68e-01    3.19e-01      5.55e-02    7.92e-02      2.74e-02    2.44e-02    2.4e-06
  32000      2.41e-01    1.94e-01      2.98e-02    3.15e-02      2.92e-02    2.70e-02    1.6e-06
  33000      1.92e-01    2.12e-01      2.44e-02    4.79e-02      2.51e-02    2.35e-02    1.6e-06
  34000      1.87e-01    5.43e-02      2.80e-02    4.06e-03      3.21e-02    3.01e-02    1.1e-06
  35000      3.13e-01    5.69e-02      4.12e-02    3.74e-03      3.38e-02    3.28e-02    1.1e-06
  36000      2.36e-01    1.29e-01      3.66e-02    1.46e-02      3.24e-02    3.14e-02    7.2e-07
  37000      6.77e-02    1.42e-01      8.64e-03    2.10e-02      2.66e-02    3.99e-02    7.2e-07
  38000      1.96e-01    1.54e-01      3.09e-02    1.71e-02      3.29e-02    2.85e-02    4.8e-07
  39000      7.76e-02    2.32e-01      6.84e-03    2.84e-02      3.28e-02    3.12e-02    4.8e-07
  40000      2.46e-01    1.57e-01      3.14e-02    1.89e-02      2.98e-02    3.21e-02    3.2e-07
  41000      1.07e-01    5.26e-02      1.44e-02    4.51e-03      3.03e-02    3.01e-02    3.2e-07
  42000      1.78e-01    3.86e-02      2.85e-02    3.01e-03      3.22e-02    2.77e-02    2.2e-07
  43000      1.79e-01    2.08e-01      3.47e-02    2.53e-02      3.86e-02    2.67e-02    2.2e-07
  44000      1.90e-01    6.45e-02      2.50e-02    9.39e-03      2.89e-02    2.93e-02    1.4e-07
  45000      3.48e-01    3.48e-02      4.35e-02    3.92e-03      3.36e-02    2.76e-02    1.4e-07
  46000      2.63e-01    7.64e-02      3.29e-02    8.72e-03      3.22e-02    2.85e-02    9.6e-08
  47000      1.76e-01    2.44e-01      2.10e-02    3.73e-02      3.35e-02    3.29e-02    9.6e-08
  48000      2.31e-01    7.92e-01      3.57e-02    1.32e-01      3.51e-02    2.81e-02    6.5e-08
  49000      1.54e-01    3.89e-01      2.45e-02    7.80e-02      3.00e-02    7.13e-02    6.5e-08
  50000      1.18e-01    5.46e-01      1.62e-02    6.87e-02      2.96e-02    3.51e-02    4.3e-08
