#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.21e+00    1.79e+00      1.07e-02    1.60e-03      7.00e-02    5.67e-02    1.0e-03
   1000      1.92e+00    1.99e+00      8.71e-02    3.94e-02      6.07e-02    6.29e-02    1.0e-03
   2000      2.11e+00    2.08e+00      4.59e-02    6.97e-04      8.12e-02    8.03e-02    6.7e-04
   3000      1.67e+00    2.62e+00      1.82e-02    1.86e-02      6.44e-02    1.01e-01    6.7e-04
   4000      1.92e+00    1.06e+00      4.76e-02    9.24e-02      8.98e-02    4.21e-02    4.5e-04
   5000      1.52e+00    1.47e+00      8.12e-03    5.55e-03      7.17e-02    6.95e-02    4.5e-04
   6000      8.73e-01    1.00e+00      1.50e-02    8.25e-02      4.99e-02    5.14e-02    3.0e-04
   7000      9.59e-01    8.20e-01      2.56e-02    7.48e-03      5.46e-02    4.73e-02    3.0e-04
   8000      8.05e-01    7.52e-01      2.56e-02    5.38e-02      5.41e-02    4.84e-02    2.0e-04
   9000      1.04e+00    1.62e+00      3.42e-02    8.30e-02      7.10e-02    1.09e-01    2.0e-04
  10000      9.10e-01    8.99e-01      2.80e-02    5.08e-02      7.65e-02    7.00e-02    1.3e-04
  11000      9.25e-01    3.96e-01      4.03e-02    7.34e-04      7.66e-02    3.41e-02    1.3e-04
  12000      8.67e-01    6.46e-01      3.64e-02    4.74e-02      8.62e-02    5.54e-02    9.0e-05
  13000      8.05e-01    3.49e-01      1.42e-02    1.19e-02      8.28e-02    3.58e-02    9.0e-05
  14000      5.92e-01    5.92e-01      3.70e-02    1.04e-02      6.82e-02    7.51e-02    6.0e-05
  15000      4.55e-01    4.34e-01      2.27e-02    3.81e-02      5.26e-02    4.16e-02    6.0e-05
  16000      6.17e-01    4.44e-01      4.19e-02    2.16e-02      8.45e-02    6.62e-02    4.0e-05
  17000      6.28e-01    4.42e-01      3.48e-02    2.39e-02      9.18e-02    6.10e-02    4.0e-05
  18000      3.66e-01    3.26e-01      1.35e-02    2.45e-03      6.49e-02    6.19e-02    2.7e-05
  19000      4.75e-01    6.63e-01      3.07e-02    1.50e-02      7.97e-02    1.24e-01    2.7e-05
  20000      4.67e-01    3.99e-01      2.27e-02    4.96e-03      9.03e-02    9.14e-02    1.8e-05
  21000      2.59e-01    6.85e-01      1.26e-02    1.09e-02      5.37e-02    1.57e-01    1.8e-05
  22000      2.97e-01    1.57e-01      2.20e-02    4.79e-03      5.31e-02    4.31e-02    1.2e-05
  23000      4.26e-01    4.34e-01      2.04e-02    2.63e-02      1.11e-01    1.04e-01    1.2e-05
  24000      3.27e-01    2.99e-01      1.13e-02    5.19e-02      1.05e-01    6.77e-02    8.0e-06
  25000      2.95e-01    4.85e-01      1.87e-02    3.73e-02      8.42e-02    1.39e-01    8.0e-06
  26000      3.89e-01    1.21e-01      2.13e-02    3.31e-03      1.32e-01    4.66e-02    5.4e-06
  27000      2.17e-01    7.19e-02      1.68e-02    8.69e-04      6.66e-02    2.84e-02    5.4e-06
  28000      1.97e-01    1.90e-01      1.76e-02    2.60e-03      5.66e-02    8.82e-02    3.6e-06
  29000      1.88e-01    2.05e-01      2.07e-02    2.22e-02      6.65e-02    6.56e-02    3.6e-06
  30000      2.23e-01    1.72e-01      2.21e-02    3.46e-02      6.11e-02    3.58e-02    2.4e-06
  31000      2.55e-01    1.51e-01      2.56e-02    1.66e-02      8.70e-02    3.77e-02    2.4e-06
  32000      2.22e-01    1.16e-01      2.29e-02    8.92e-03      8.76e-02    5.69e-02    1.6e-06
  33000      2.02e-01    3.43e-01      2.08e-02    2.94e-02      8.55e-02    1.74e-01    1.6e-06
  34000      1.72e-01    1.58e-01      1.44e-02    5.26e-03      8.95e-02    1.07e-01    1.1e-06
  35000      1.45e-01    7.87e-02      1.41e-02    8.75e-03      7.12e-02    4.67e-02    1.1e-06
  36000      1.60e-01    3.60e-02      1.88e-02    2.47e-03      6.26e-02    2.32e-02    7.2e-07
  37000      1.44e-01    2.29e-01      1.45e-02    2.60e-02      7.19e-02    8.37e-02    7.2e-07
  38000      1.91e-01    1.17e-01      2.21e-02    1.10e-02      7.66e-02    6.28e-02    4.8e-07
  39000      1.06e-01    1.33e-01      1.01e-02    1.79e-02      5.95e-02    5.32e-02    4.8e-07
  40000      1.21e-01    7.08e-02      1.05e-02    2.03e-03      6.89e-02    6.04e-02    3.2e-07
  41000      1.62e-01    1.65e-01      2.09e-02    3.45e-02      6.36e-02    4.03e-02    3.2e-07
  42000      1.50e-01    1.76e-01      1.71e-02    2.05e-02      4.65e-02    1.06e-01    2.2e-07
  43000      1.43e-01    5.64e-02      1.26e-02    7.00e-03      9.53e-02    4.17e-02    2.2e-07
  44000      2.03e-01    3.34e-01      2.86e-02    4.66e-02      5.74e-02    8.13e-02    1.4e-07
  45000      1.04e-01    8.86e-02      9.21e-03    6.36e-03      7.00e-02    6.40e-02    1.4e-07
  46000      1.41e-01    1.57e-01      1.73e-02    8.71e-03      6.82e-02    1.35e-01    9.6e-08
  47000      1.22e-01    1.77e-01      1.34e-02    3.41e-02      6.23e-02    5.67e-02    9.6e-08
  48000      9.51e-02    1.42e-01      8.20e-03    3.00e-02      5.57e-02    4.44e-02    6.5e-08
  49000      1.81e-01    2.36e-01      2.04e-02    3.55e-02      7.72e-02    9.84e-02    6.5e-08
  50000      1.51e-01    7.26e-02      1.46e-02    1.54e-03      8.14e-02    6.99e-02    4.3e-08
