#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      7.43e-01    5.31e-01      2.49e-16    6.32e-16      2.35e-02    1.68e-02    1.0e-03
   1000      3.62e-01    4.37e-01      1.73e-02    3.22e-02      1.14e-02    1.38e-02    1.0e-03
   2000      2.82e-01    3.32e-01      2.51e-02    4.85e-02      9.95e-03    9.23e-03    6.7e-04
   3000      3.32e-01    2.93e-01      1.84e-02    1.44e-02      1.22e-02    1.11e-02    6.7e-04
   4000      2.90e-01    2.28e-01      2.65e-02    1.88e-02      1.11e-02    9.83e-03    4.5e-04
   5000      2.83e-01    1.93e-01      1.10e-02    1.59e-02      1.29e-02    8.24e-03    4.5e-04
   6000      1.97e-01    2.11e-01      3.69e-03    1.63e-03      1.13e-02    1.22e-02    3.0e-04
   7000      2.19e-01    1.60e-01      2.25e-02    2.29e-02      1.07e-02    7.69e-03    3.0e-04
   8000      1.56e-01    9.09e-02      4.38e-03    1.95e-03      1.07e-02    6.34e-03    2.0e-04
   9000      1.87e-01    1.45e-01      7.66e-03    8.25e-03      1.23e-02    9.96e-03    2.0e-04
  10000      1.68e-01    1.17e-01      1.71e-02    4.11e-03      1.24e-02    9.74e-03    1.3e-04
  11000      1.33e-01    1.80e-01      4.08e-03    9.23e-03      1.11e-02    1.51e-02    1.3e-04
  12000      8.61e-02    1.45e-01      1.91e-03    1.54e-03      8.92e-03    1.52e-02    9.0e-05
  13000      1.11e-01    1.13e-01      5.95e-03    2.44e-04      1.07e-02    1.19e-02    9.0e-05
  14000      8.09e-02    4.68e-02      3.61e-03    1.44e-03      9.48e-03    5.83e-03    6.0e-05
  15000      7.28e-02    1.55e-01      2.24e-03    9.25e-03      9.07e-03    1.91e-02    6.0e-05
  16000      1.07e-01    1.03e-01      3.30e-03    5.37e-03      1.58e-02    1.52e-02    4.0e-05
  17000      1.07e-01    7.00e-02      1.13e-03    1.97e-03      1.66e-02    1.07e-02    4.0e-05
  18000      9.85e-02    5.29e-02      3.26e-03    2.07e-03      1.80e-02    9.86e-03    2.7e-05
  19000      5.58e-02    9.64e-02      1.31e-03    6.02e-03      1.02e-02    1.75e-02    2.7e-05
  20000      5.49e-02    3.07e-02      1.98e-03    1.93e-03      1.19e-02    6.16e-03    1.8e-05
  21000      5.60e-02    4.46e-02      2.55e-03    9.04e-04      1.22e-02    1.01e-02    1.8e-05
  22000      3.02e-02    4.20e-02      1.37e-03    3.51e-03      7.89e-03    8.59e-03    1.2e-05
  23000      6.39e-02    3.14e-02      1.38e-03    1.22e-03      1.75e-02    8.56e-03    1.2e-05
  24000      2.95e-02    2.12e-02      1.80e-03    6.66e-04      9.02e-03    6.82e-03    8.0e-06
  25000      3.45e-02    1.82e-02      1.53e-03    4.05e-04      1.04e-02    5.96e-03    8.0e-06
  26000      4.82e-02    5.07e-02      2.11e-03    1.66e-03      1.77e-02    1.93e-02    5.4e-06
  27000      4.14e-02    1.76e-02      1.15e-03    1.92e-03      1.58e-02    6.04e-03    5.4e-06
  28000      2.93e-02    7.32e-02      1.78e-03    1.05e-02      1.21e-02    2.44e-02    3.6e-06
  29000      3.64e-02    3.05e-02      1.85e-03    1.05e-03      1.60e-02    1.36e-02    3.6e-06
  30000      2.97e-02    5.70e-02      9.78e-04    5.96e-03      1.55e-02    2.34e-02    2.4e-06
  31000      1.74e-02    2.02e-02      9.10e-04    7.02e-04      8.58e-03    1.08e-02    2.4e-06
  32000      2.33e-02    3.11e-02      1.13e-03    4.76e-03      1.34e-02    1.47e-02    1.6e-06
  33000      1.99e-02    3.16e-02      1.17e-03    2.95e-03      1.10e-02    1.49e-02    1.6e-06
  34000      2.25e-02    1.30e-02      1.19e-03    7.74e-04      1.45e-02    8.72e-03    1.1e-06
  35000      2.30e-02    9.57e-03      1.18e-03    3.68e-04      1.47e-02    6.32e-03    1.1e-06
  36000      1.70e-02    1.58e-02      8.11e-04    7.81e-04      1.23e-02    1.10e-02    7.2e-07
  37000      3.23e-02    1.13e-02      7.36e-04    1.47e-03      2.43e-02    6.94e-03    7.2e-07
  38000      2.72e-02    2.47e-02      2.22e-03    2.18e-03      1.85e-02    1.85e-02    4.8e-07
  39000      1.92e-02    9.72e-03      1.00e-03    1.19e-03      1.45e-02    6.62e-03    4.8e-07
  40000      1.06e-02    1.07e-02      4.28e-04    5.96e-04      8.70e-03    8.27e-03    3.2e-07
  41000      1.69e-02    1.46e-02      8.52e-04    1.46e-03      1.30e-02    1.13e-02    3.2e-07
  42000      9.19e-03    1.83e-02      5.47e-04    1.89e-04      7.66e-03    1.65e-02    2.2e-07
  43000      1.57e-02    1.18e-02      1.24e-03    1.12e-04      1.26e-02    1.07e-02    2.2e-07
  44000      1.31e-02    1.33e-02      9.44e-04    7.79e-04      1.04e-02    1.07e-02    1.4e-07
  45000      1.35e-02    1.50e-02      9.78e-04    1.34e-03      1.14e-02    1.15e-02    1.4e-07
  46000      2.23e-02    1.64e-02      1.12e-03    1.84e-03      1.96e-02    1.06e-02    9.6e-08
  47000      1.14e-02    1.95e-02      6.85e-04    2.04e-03      9.36e-03    1.28e-02    9.6e-08
  48000      1.76e-02    1.14e-02      1.06e-03    2.65e-04      1.54e-02    1.10e-02    6.5e-08
  49000      1.65e-02    2.04e-02      7.82e-04    4.40e-04      1.53e-02    1.95e-02    6.5e-08
  50000      1.21e-02    8.36e-03      8.03e-04    5.70e-04      1.07e-02    6.81e-03    4.3e-08
