#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.57e+00    2.03e+00      3.86e-02    6.83e-02      8.11e-02    6.42e-02    1.0e-03
   1000      2.16e+00    8.08e-01      3.29e-02    3.77e-02      6.82e-02    2.55e-02    1.0e-03
   2000      2.29e+00    1.92e+00      7.22e-02    5.86e-02      8.12e-02    6.83e-02    7.8e-04
   3000      1.26e+00    2.08e+00      8.63e-02    4.80e-02      4.30e-02    7.43e-02    7.8e-04
   4000      1.66e+00    3.38e+00      6.12e-02    1.58e-01      6.62e-02    1.35e-01    6.1e-04
   5000      1.33e+00    1.67e+00      6.01e-02    3.12e-02      5.28e-02    6.75e-02    6.1e-04
   6000      1.83e+00    1.47e+00      4.76e-02    1.84e-02      8.24e-02    6.76e-02    4.7e-04
   7000      1.03e+00    7.55e-01      4.10e-02    6.56e-02      4.63e-02    3.01e-02    4.7e-04
   8000      1.09e+00    1.14e+00      2.63e-02    4.48e-02      5.60e-02    5.72e-02    3.7e-04
   9000      1.47e+00    3.93e-01      5.49e-02    1.21e-02      7.37e-02    2.02e-02    3.7e-04
  10000      7.95e-01    9.73e-01      9.48e-03    8.90e-02      4.68e-02    5.34e-02    2.8e-04
  11000      1.16e+00    1.65e+00      8.19e-02    5.40e-02      5.93e-02    9.70e-02    2.8e-04
  12000      7.60e-01    7.64e-01      1.48e-02    2.73e-03      5.04e-02    5.12e-02    2.2e-04
  13000      1.55e+00    1.06e+00      5.55e-02    1.92e-02      1.01e-01    7.04e-02    2.2e-04
  14000      9.48e-01    6.01e-01      4.67e-02    2.56e-02      6.89e-02    4.42e-02    1.7e-04
  15000      6.32e-01    7.15e-01      3.37e-02    2.06e-02      4.44e-02    5.40e-02    1.7e-04
  16000      8.28e-01    9.55e-01      5.09e-03    9.59e-02      7.12e-02    7.55e-02    1.3e-04
  17000      8.48e-01    6.23e-01      1.53e-02    3.09e-02      7.23e-02    4.98e-02    1.3e-04
  18000      7.25e-01    2.46e-01      2.93e-02    3.90e-03      6.54e-02    2.38e-02    1.0e-04
  19000      6.93e-01    1.04e+00      2.16e-02    1.53e-02      6.50e-02    1.01e-01    1.0e-04
  20000      8.11e-01    6.17e-01      2.20e-02    7.85e-03      8.72e-02    6.80e-02    8.1e-05
  21000      5.36e-01    5.36e-01      2.80e-02    2.40e-02      5.24e-02    5.56e-02    8.1e-05
  22000      5.81e-01    6.19e-01      2.13e-02    4.67e-02      6.99e-02    6.18e-02    6.3e-05
  23000      4.52e-01    3.10e-01      9.10e-03    8.56e-03      5.58e-02    3.77e-02    6.3e-05
  24000      5.56e-01    2.95e-01      4.24e-02    2.40e-02      6.71e-02    3.20e-02    4.9e-05
  25000      4.88e-01    4.55e-01      3.05e-02    1.16e-02      6.11e-02    6.30e-02    4.9e-05
  26000      4.90e-01    6.54e-01      2.43e-02    4.74e-02      7.30e-02    9.26e-02    3.8e-05
  27000      4.01e-01    4.72e-01      1.12e-02    7.19e-03      6.18e-02    7.50e-02    3.8e-05
  28000      4.61e-01    3.71e-01      2.61e-02    1.77e-02      7.48e-02    6.40e-02    3.0e-05
  29000      2.95e-01    7.27e-01      1.78e-02    8.23e-02      4.60e-02    9.53e-02    3.0e-05
  30000      3.35e-01    2.77e-01      2.02e-02    1.80e-02      6.31e-02    5.38e-02    2.3e-05
  31000      4.41e-01    2.21e-01      5.29e-02    1.74e-02      5.96e-02    3.58e-02    2.3e-05
  32000      4.16e-01    3.50e-01      3.35e-02    4.28e-02      7.73e-02    6.54e-02    1.8e-05
  33000      3.27e-01    8.00e-02      1.85e-02    4.53e-03      6.95e-02    1.65e-02    1.8e-05
  34000      2.70e-01    2.44e-01      2.56e-02    5.27e-04      4.45e-02    6.30e-02    1.4e-05
  35000      2.82e-01    2.41e-01      1.65e-02    2.07e-02      6.11e-02    4.24e-02    1.4e-05
  36000      3.16e-01    5.45e-01      9.25e-03    7.20e-02      8.94e-02    1.33e-01    1.1e-05
  37000      2.10e-01    2.52e-01      9.53e-03    8.60e-03      5.38e-02    7.12e-02    1.1e-05
  38000      3.05e-01    2.42e-01      1.95e-02    2.69e-03      7.85e-02    7.82e-02    8.4e-06
  39000      2.84e-01    3.04e-01      2.85e-02    2.39e-02      5.16e-02    8.45e-02    8.4e-06
  40000      1.75e-01    3.70e-01      2.06e-02    4.16e-02      4.07e-02    8.48e-02    6.6e-06
  41000      2.34e-01    1.78e-01      1.56e-02    7.07e-03      7.05e-02    6.14e-02    6.6e-06
  42000      2.66e-01    3.04e-01      2.04e-02    2.92e-02      8.03e-02    8.23e-02    5.1e-06
  43000      4.00e-01    4.11e-01      4.01e-02    5.88e-02      1.11e-01    5.84e-02    5.1e-06
  44000      1.87e-01    2.82e-01      1.58e-02    2.09e-02      6.41e-02    1.01e-01    4.0e-06
  45000      1.91e-01    1.36e-01      1.42e-02    1.69e-02      7.02e-02    4.94e-02    4.0e-06
  46000      1.97e-01    1.05e-01      2.35e-02    1.70e-03      5.47e-02    5.20e-02    3.1e-06
  47000      1.97e-01    1.30e-01      1.49e-02    1.19e-03      7.59e-02    6.42e-02    3.1e-06
  48000      2.36e-01    2.03e-01      1.71e-02    2.09e-02      9.24e-02    6.14e-02    2.4e-06
  49000      1.17e-01    2.06e-01      1.07e-02    1.60e-02      4.37e-02    9.39e-02    2.4e-06
  50000      1.38e-01    1.89e-01      7.57e-03    6.40e-03      7.39e-02    1.09e-01    1.9e-06
  51000      1.28e-01    3.30e-01      4.53e-03    4.68e-02      7.04e-02    6.12e-02    1.9e-06
  52000      2.89e-01    1.95e-01      3.67e-02    3.59e-02      1.03e-01    5.40e-02    1.5e-06
  53000      1.52e-01    1.32e-01      1.48e-02    1.15e-02      6.04e-02    5.50e-02    1.5e-06
  54000      2.12e-01    1.09e-01      2.36e-02    8.75e-03      7.75e-02    5.41e-02    1.1e-06
  55000      2.30e-01    1.04e-01      2.17e-02    1.26e-02      9.46e-02    5.88e-02    1.1e-06
  56000      1.49e-01    1.19e-01      1.62e-02    1.06e-02      7.16e-02    5.46e-02    8.8e-07
  57000      1.21e-01    8.14e-02      8.33e-03    6.58e-03      7.27e-02    4.51e-02    8.8e-07
  58000      1.31e-01    3.51e-02      1.26e-02    1.75e-03      7.70e-02    2.50e-02    6.8e-07
  59000      1.75e-01    7.15e-02      1.75e-02    3.99e-03      7.39e-02    5.18e-02    6.8e-07
  60000      2.09e-01    1.75e-01      2.43e-02    3.80e-02      8.90e-02    5.47e-02    5.3e-07
  61000      2.21e-01    1.29e-01      2.85e-02    1.31e-02      5.67e-02    5.49e-02    5.3e-07
  62000      1.83e-01    1.66e-01      1.71e-02    1.92e-02      8.33e-02    5.97e-02    4.1e-07
  63000      2.58e-01    2.26e-01      3.45e-02    2.96e-02      7.25e-02    9.78e-02    4.1e-07
  64000      1.10e-01    2.60e-01      9.29e-03    2.92e-02      6.30e-02    1.12e-01    3.2e-07
  65000      1.34e-01    1.82e-01      1.68e-02    2.12e-02      6.71e-02    5.56e-02    3.2e-07
  66000      5.25e-02    2.17e-01      3.06e-03    2.20e-02      4.16e-02    9.26e-02    2.5e-07
  67000      2.18e-01    5.71e-02      2.82e-02    1.76e-04      9.26e-02    5.10e-02    2.5e-07
  68000      1.32e-01    1.33e-01      1.23e-02    1.42e-02      8.73e-02    8.25e-02    1.9e-07
  69000      2.82e-01    4.66e-02      3.61e-02    2.97e-03      7.42e-02    4.07e-02    1.9e-07
  70000      1.53e-01    1.44e-01      1.93e-02    1.49e-02      7.55e-02    9.89e-02    1.5e-07
  71000      2.10e-01    2.83e-01      3.13e-02    2.80e-02      1.13e-01    2.02e-01    1.5e-07
  72000      1.56e-01    1.55e-01      1.46e-02    1.61e-02      1.00e-01    8.28e-02    1.2e-07
  73000      1.27e-01    9.91e-02      1.40e-02    1.27e-02      6.58e-02    4.45e-02    1.2e-07
  74000      1.99e-01    2.47e-01      2.59e-02    2.75e-02      7.83e-02    5.83e-02    9.2e-08
  75000      9.77e-02    2.00e-01      9.51e-03    2.97e-02      5.86e-02    8.34e-02    9.2e-08
  76000      8.11e-02    1.37e-01      6.57e-03    1.39e-02      6.04e-02    6.28e-02    7.1e-08
  77000      1.73e-01    7.95e-02      1.99e-02    4.19e-03      7.76e-02    6.81e-02    7.1e-08
  78000      2.56e-01    1.97e-01      3.03e-02    2.14e-02      1.01e-01    6.14e-02    5.6e-08
  79000      1.19e-01    9.48e-02      1.13e-02    9.40e-03      6.62e-02    8.17e-02    5.6e-08
  80000      1.16e-01    9.37e-02      9.62e-03    1.61e-02      7.08e-02    4.95e-02    4.3e-08
