#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.30e-01    3.83e-01      3.45e-02    3.58e-03      1.04e-02    1.21e-02    1.0e-03
   1000      3.86e-01    3.08e-01      8.38e-02    4.12e-02      1.17e-02    9.65e-03    1.0e-03
   2000      3.62e-01    2.86e-01      5.27e-02    1.62e-02      9.58e-03    1.06e-02    6.7e-04
   3000      4.59e-01    5.24e-01      7.49e-02    8.18e-03      1.01e-02    2.02e-02    6.7e-04
   4000      2.91e-01    2.27e-01      3.85e-02    3.02e-02      1.09e-02    8.06e-03    4.5e-04
   5000      2.22e-01    3.13e-01      1.67e-02    3.04e-02      9.48e-03    1.14e-02    4.5e-04
   6000      5.77e-01    1.70e-01      9.19e-02    1.26e-02      1.37e-02    8.92e-03    3.0e-04
   7000      4.24e-01    1.74e-01      5.50e-02    1.58e-02      1.07e-02    8.60e-03    3.0e-04
   8000      5.23e-01    6.34e-01      6.65e-02    7.58e-02      1.11e-02    1.44e-02    2.0e-04
   9000      2.12e-01    1.77e-01      6.26e-03    4.11e-03      1.46e-02    1.24e-02    2.0e-04
  10000      3.37e-01    1.66e-01      4.19e-02    2.55e-03      1.59e-02    1.43e-02    1.3e-04
  11000      3.16e-01    1.56e-01      4.01e-02    7.10e-03      1.48e-02    1.32e-02    1.3e-04
  12000      3.75e-01    1.51e-01      4.56e-02    1.76e-03      1.40e-02    1.58e-02    9.0e-05
  13000      3.90e-01    2.26e-01      5.11e-02    2.91e-02      1.83e-02    1.38e-02    9.0e-05
  14000      2.85e-01    2.03e-01      3.83e-02    4.25e-02      1.47e-02    9.46e-03    6.0e-05
  15000      2.08e-01    1.69e-01      1.94e-02    2.16e-02      1.69e-02    1.10e-02    6.0e-05
  16000      2.29e-01    2.90e-01      2.36e-02    3.22e-02      1.72e-02    1.79e-02    4.0e-05
  17000      1.97e-01    1.36e-01      2.06e-02    1.18e-02      2.06e-02    1.54e-02    4.0e-05
  18000      3.08e-01    4.46e-01      4.29e-02    5.62e-02      1.80e-02    1.74e-02    2.7e-05
  19000      4.36e-01    9.77e-02      5.85e-02    5.59e-04      1.93e-02    1.85e-02    2.7e-05
  20000      1.40e-01    4.46e-01      2.20e-02    5.38e-02      1.81e-02    1.73e-02    1.8e-05
  21000      2.73e-01    8.46e-02      3.40e-02    8.75e-03      2.13e-02    1.70e-02    1.8e-05
  22000      2.99e-01    2.18e-01      3.90e-02    4.51e-02      2.05e-02    2.04e-02    1.2e-05
  23000      1.90e-01    9.20e-02      2.78e-02    6.44e-03      2.41e-02    2.27e-02    1.2e-05
  24000      1.25e-01    2.16e-01      1.22e-02    2.56e-02      2.34e-02    2.12e-02    8.0e-06
  25000      2.18e-01    3.32e-01      2.56e-02    6.37e-02      2.70e-02    4.39e-02    8.0e-06
  26000      3.53e-01    7.57e-02      4.61e-02    5.75e-03      2.71e-02    2.61e-02    5.4e-06
  27000      3.51e-01    2.06e-01      6.51e-02    2.52e-02      2.44e-02    2.41e-02    5.4e-06
  28000      2.68e-01    2.16e-01      3.87e-02    4.74e-02      3.22e-02    2.07e-02    3.6e-06
  29000      2.07e-01    1.50e-01      2.73e-02    1.78e-02      2.64e-02    2.62e-02    3.6e-06
  30000      1.84e-01    3.67e-01      2.96e-02    8.56e-02      3.40e-02    3.18e-02    2.4e-06
  31000      2.39e-01    9.80e-02      3.34e-02    1.10e-02      2.98e-02    2.52e-02    2.4e-06
  32000      1.38e-01    5.35e-02      1.44e-02    3.20e-03      3.11e-02    2.96e-02    1.6e-06
  33000      2.99e-01    2.36e-01      3.94e-02    2.89e-02      2.67e-02    3.44e-02    1.6e-06
  34000      1.20e-01    2.19e-01      1.62e-02    4.75e-02      3.08e-02    1.53e-02    1.1e-06
  35000      1.63e-01    1.76e-01      1.97e-02    2.16e-02      2.77e-02    2.57e-02    1.1e-06
  36000      1.75e-01    1.74e-01      2.44e-02    3.49e-02      3.19e-02    3.63e-02    7.2e-07
  37000      3.62e-01    5.91e-02      6.35e-02    5.18e-03      3.83e-02    3.58e-02    7.2e-07
  38000      1.28e-01    7.32e-02      1.58e-02    8.11e-03      3.11e-02    2.93e-02    4.8e-07
  39000      1.99e-01    1.73e-01      2.66e-02    2.44e-02      2.67e-02    3.20e-02    4.8e-07
  40000      1.94e-01    3.36e-02      2.23e-02    7.20e-04      3.53e-02    2.87e-02    3.2e-07
  41000      2.20e-01    1.11e-01      3.72e-02    1.23e-02      3.27e-02    3.53e-02    3.2e-07
  42000      3.17e-01    2.58e-01      3.80e-02    3.80e-02      3.40e-02    3.67e-02    2.2e-07
  43000      1.30e-01    4.58e-02      2.09e-02    4.25e-03      3.29e-02    2.75e-02    2.2e-07
  44000      7.30e-02    4.43e-02      7.57e-03    3.37e-03      3.00e-02    3.59e-02    1.4e-07
  45000      1.20e-01    8.23e-02      1.55e-02    1.23e-02      3.50e-02    2.73e-02    1.4e-07
  46000      1.12e-01    1.42e-01      1.67e-02    3.26e-02      3.41e-02    3.03e-02    9.6e-08
  47000      2.34e-01    4.73e-02      3.27e-02    3.63e-03      3.45e-02    3.60e-02    9.6e-08
  48000      1.24e-01    1.06e-01      1.38e-02    1.52e-02      2.87e-02    3.75e-02    6.5e-08
  49000      3.42e-01    1.36e+00      4.62e-02    2.04e-01      3.15e-02    3.35e-02    6.5e-08
  50000      2.48e-01    1.37e-01      3.25e-02    1.62e-02      3.40e-02    3.12e-02    4.3e-08
