#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      8.64e-01    3.81e-01      7.00e-17    0.00e+00      2.73e-02    1.21e-02    1.0e-03
   1000      5.26e-01    1.14e+00      1.98e-02    2.21e-02      1.66e-02    3.59e-02    1.0e-03
   2000      3.21e-01    4.90e-01      2.11e-02    4.79e-03      1.18e-02    1.89e-02    6.7e-04
   3000      4.27e-01    4.21e-01      2.18e-02    4.56e-02      1.59e-02    1.38e-02    6.7e-04
   4000      3.50e-01    3.64e-01      2.19e-02    3.80e-02      1.51e-02    1.33e-02    4.5e-04
   5000      3.58e-01    2.29e-01      1.51e-02    4.12e-03      1.60e-02    1.07e-02    4.5e-04
   6000      4.19e-01    3.36e-01      9.32e-03    1.66e-02      2.40e-02    1.86e-02    3.0e-04
   7000      3.83e-01    2.33e-01      2.03e-02    3.85e-04      2.11e-02    1.35e-02    3.0e-04
   8000      2.02e-01    2.16e-01      8.55e-03    4.89e-03      1.33e-02    1.51e-02    2.0e-04
   9000      1.89e-01    2.46e-01      6.70e-03    5.50e-04      1.29e-02    1.73e-02    2.0e-04
  10000      1.57e-01    1.51e-01      7.01e-03    6.14e-03      1.28e-02    1.23e-02    1.3e-04
  11000      1.94e-01    2.01e-01      6.87e-03    1.38e-02      1.63e-02    1.60e-02    1.3e-04
  12000      1.45e-01    1.19e-01      8.76e-04    1.17e-02      1.52e-02    7.69e-03    9.0e-05
  13000      1.20e-01    1.42e-01      5.68e-03    1.83e-03      1.19e-02    1.49e-02    9.0e-05
  14000      1.59e-01    8.60e-02      1.07e-02    2.45e-03      1.89e-02    1.08e-02    6.0e-05
  15000      1.27e-01    1.94e-01      2.46e-03    8.91e-03      1.61e-02    2.39e-02    6.0e-05
  16000      1.17e-01    2.26e-01      7.53e-03    3.51e-03      1.70e-02    3.49e-02    4.0e-05
  17000      9.72e-02    7.09e-02      4.09e-03    4.21e-04      1.44e-02    1.11e-02    4.0e-05
  18000      1.07e-01    4.57e-02      4.99e-03    1.21e-03      1.95e-02    8.48e-03    2.7e-05
  19000      1.09e-01    1.30e-01      6.80e-03    2.97e-04      1.87e-02    2.47e-02    2.7e-05
  20000      1.21e-01    5.15e-02      9.33e-03    7.03e-04      2.48e-02    1.18e-02    1.8e-05
  21000      9.76e-02    8.38e-02      7.53e-03    3.81e-03      1.82e-02    1.83e-02    1.8e-05
  22000      6.68e-02    3.41e-02      2.64e-03    1.56e-04      1.67e-02    9.46e-03    1.2e-05
  23000      8.24e-02    3.55e-02      7.37e-03    2.05e-03      1.80e-02    8.78e-03    1.2e-05
  24000      6.12e-02    6.36e-02      4.92e-03    6.75e-04      1.61e-02    2.11e-02    8.0e-06
  25000      6.23e-02    5.95e-02      3.19e-03    1.07e-03      1.97e-02    1.96e-02    8.0e-06
  26000      6.09e-02    6.03e-02      2.15e-03    3.40e-03      2.16e-02    2.31e-02    5.4e-06
  27000      6.30e-02    5.56e-02      6.40e-03    3.45e-03      2.02e-02    1.91e-02    5.4e-06
  28000      7.65e-02    6.09e-02      9.95e-03    6.72e-03      2.51e-02    1.99e-02    3.6e-06
  29000      3.70e-02    6.20e-02      1.67e-03    3.64e-03      1.55e-02    2.67e-02    3.6e-06
  30000      2.54e-02    5.39e-02      6.44e-04    2.12e-03      1.34e-02    2.82e-02    2.4e-06
  31000      2.97e-02    4.34e-02      2.75e-03    4.13e-03      1.02e-02    1.80e-02    2.4e-06
  32000      3.71e-02    1.86e-02      7.17e-04    1.11e-03      2.26e-02    1.01e-02    1.6e-06
  33000      2.34e-02    2.66e-02      1.58e-03    2.52e-03      1.21e-02    1.03e-02    1.6e-06
  34000      2.10e-02    1.43e-02      1.36e-03    3.78e-04      1.34e-02    9.69e-03    1.1e-06
  35000      2.24e-02    4.55e-02      1.67e-03    6.15e-03      1.17e-02    1.75e-02    1.1e-06
  36000      3.29e-02    1.36e-02      3.76e-03    6.21e-04      1.82e-02    9.64e-03    7.2e-07
  37000      3.21e-02    1.42e-02      3.34e-03    6.90e-04      1.88e-02    1.00e-02    7.2e-07
  38000      2.49e-02    1.18e-02      2.39e-03    3.84e-04      1.39e-02    9.41e-03    4.8e-07
  39000      2.62e-02    2.96e-02      2.26e-03    2.98e-03      1.46e-02    1.86e-02    4.8e-07
  40000      4.40e-02    3.10e-02      5.50e-03    3.33e-03      2.63e-02    1.90e-02    3.2e-07
  41000      2.30e-02    1.13e-02      1.62e-03    4.96e-04      1.63e-02    9.14e-03    3.2e-07
  42000      3.89e-02    3.25e-02      4.33e-03    3.50e-03      2.32e-02    2.50e-02    2.2e-07
  43000      3.12e-02    2.90e-02      2.66e-03    1.07e-03      2.16e-02    2.50e-02    2.2e-07
  44000      2.01e-02    1.66e-02      1.13e-03    4.95e-04      1.73e-02    1.54e-02    1.4e-07
  45000      2.81e-02    2.08e-02      2.53e-03    8.29e-05      1.71e-02    1.95e-02    1.4e-07
  46000      1.84e-02    1.27e-02      1.21e-03    6.57e-04      1.31e-02    1.08e-02    9.6e-08
  47000      5.11e-02    1.50e-02      5.18e-03    8.55e-05      2.92e-02    1.43e-02    9.6e-08
  48000      2.57e-02    2.92e-02      2.48e-03    3.39e-03      1.90e-02    1.84e-02    6.5e-08
  49000      2.37e-02    1.60e-02      1.49e-03    1.21e-03      1.99e-02    1.24e-02    6.5e-08
  50000      3.31e-02    1.29e-02      3.45e-03    1.33e-03      2.45e-02    1.11e-02    4.3e-08
