#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.49e+00    2.15e+00      3.97e-02    1.46e-02      1.10e-01    6.80e-02    1.0e-03
   1000      3.21e+00    1.69e+00      4.85e-02    1.19e-01      1.02e-01    5.34e-02    1.0e-03
   2000      1.94e+00    2.80e+00      7.21e-02    5.45e-02      6.89e-02    9.99e-02    7.8e-04
   3000      1.69e+00    1.63e+00      1.06e-01    3.33e-03      5.75e-02    5.83e-02    7.8e-04
   4000      2.13e+00    2.06e+00      4.82e-02    2.76e-03      8.55e-02    8.37e-02    6.1e-04
   5000      1.75e+00    6.77e-01      6.53e-02    5.77e-03      6.98e-02    2.75e-02    6.1e-04
   6000      1.54e+00    1.59e+00      3.69e-02    1.42e-02      6.95e-02    7.32e-02    4.7e-04
   7000      9.01e-01    8.08e-01      2.30e-02    2.84e-02      4.10e-02    3.70e-02    4.7e-04
   8000      1.29e+00    1.68e+00      6.38e-02    1.60e-02      6.42e-02    8.77e-02    3.7e-04
   9000      1.06e+00    1.11e+00      3.42e-02    2.08e-03      5.43e-02    5.82e-02    3.7e-04
  10000      1.16e+00    1.15e+00      3.20e-02    1.54e-02      6.78e-02    6.77e-02    2.8e-04
  11000      8.13e-01    1.21e+00      2.73e-02    4.78e-02      4.68e-02    7.04e-02    2.8e-04
  12000      9.53e-01    1.09e+00      3.75e-02    8.79e-02      6.18e-02    6.47e-02    2.2e-04
  13000      1.47e+00    1.31e+00      1.55e-02    3.63e-02      9.83e-02    8.65e-02    2.2e-04
  14000      8.70e-01    3.80e-01      2.21e-02    3.23e-02      6.28e-02    2.28e-02    1.7e-04
  15000      8.45e-01    6.75e-01      1.35e-02    5.57e-02      6.36e-02    4.08e-02    1.7e-04
  16000      9.38e-01    3.71e-01      4.11e-02    1.50e-02      7.69e-02    3.06e-02    1.3e-04
  17000      8.09e-01    5.65e-01      2.55e-02    2.49e-02      6.72e-02    4.54e-02    1.3e-04
  18000      7.36e-01    4.85e-01      2.61e-02    9.08e-03      6.89e-02    4.68e-02    1.0e-04
  19000      6.99e-01    6.73e-01      2.26e-02    5.22e-02      6.58e-02    5.29e-02    1.0e-04
  20000      6.48e-01    2.57e-01      1.53e-02    1.18e-02      6.95e-02    2.67e-02    8.1e-05
  21000      6.50e-01    2.09e-01      2.89e-02    4.63e-03      6.70e-02    2.27e-02    8.1e-05
  22000      5.67e-01    5.50e-01      2.60e-02    1.26e-02      6.56e-02    6.74e-02    6.3e-05
  23000      3.46e-01    4.70e-01      5.37e-03    3.56e-02      4.27e-02    5.53e-02    6.3e-05
  24000      3.81e-01    5.09e-01      1.96e-02    3.31e-02      4.76e-02    6.15e-02    4.9e-05
  25000      4.53e-01    7.33e-01      1.61e-02    2.59e-02      5.97e-02    1.01e-01    4.9e-05
  26000      4.02e-01    5.12e-01      2.45e-02    6.09e-02      5.43e-02    6.85e-02    3.8e-05
  27000      3.07e-01    3.47e-01      2.08e-02    1.86e-02      4.34e-02    5.02e-02    3.8e-05
  28000      3.82e-01    2.36e-01      1.90e-02    4.51e-03      6.36e-02    4.21e-02    3.0e-05
  29000      2.77e-01    7.26e-01      9.46e-03    7.41e-02      4.77e-02    1.01e-01    3.0e-05
