#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.09e+00    2.36e+00      2.20e-02    4.64e-02      6.60e-02    7.47e-02    1.0e-03
   1000      2.30e+00    1.75e+00      3.32e-02    4.44e-02      7.26e-02    5.52e-02    1.0e-03
   2000      1.36e+00    3.03e+00      2.04e-02    6.19e-03      4.86e-02    1.09e-01    7.8e-04
   3000      2.01e+00    1.01e+00      2.77e-02    4.29e-02      7.18e-02    3.57e-02    7.8e-04
   4000      2.16e+00    6.52e-01      3.75e-02    2.92e-02      8.75e-02    2.59e-02    6.1e-04
   5000      1.68e+00    1.73e+00      6.12e-02    7.18e-02      6.58e-02    6.86e-02    6.1e-04
   6000      1.07e+00    1.13e+00      1.70e-02    1.83e-01      4.91e-02    3.59e-02    4.7e-04
   7000      1.04e+00    1.01e+00      5.45e-02    1.04e-01      4.38e-02    3.73e-02    4.7e-04
   8000      1.11e+00    1.32e+00      7.60e-02    3.44e-02      5.04e-02    6.86e-02    3.7e-04
   9000      1.10e+00    1.28e+00      3.74e-02    1.02e-02      5.52e-02    6.65e-02    3.7e-04
  10000      1.28e+00    8.41e-01      4.27e-02    2.10e-03      7.31e-02    4.98e-02    2.8e-04
  11000      9.25e-01    1.22e+00      2.82e-02    3.77e-02      5.25e-02    7.03e-02    2.8e-04
  12000      1.11e+00    5.61e-01      1.34e-02    1.25e-02      7.43e-02    3.72e-02    2.2e-04
  13000      1.47e+00    5.75e-01      4.80e-02    2.97e-02      9.51e-02    3.77e-02    2.2e-04
  14000      1.30e+00    8.99e-01      1.47e-02    4.07e-02      9.83e-02    6.56e-02    1.7e-04
  15000      1.12e+00    1.16e+00      3.23e-02    4.52e-02      8.38e-02    8.66e-02    1.7e-04
  16000      9.48e-01    9.68e-01      2.01e-02    8.89e-03      8.08e-02    8.32e-02    1.3e-04
  17000      7.06e-01    7.87e-01      2.10e-02    8.78e-03      5.94e-02    6.75e-02    1.3e-04
  18000      7.38e-01    1.30e+00      1.96e-02    2.97e-02      6.92e-02    1.25e-01    1.0e-04
