#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.70e+00    1.69e+00      1.85e-02    9.78e-03      8.55e-02    5.33e-02    1.0e-03
   1000      2.65e+00    1.60e+00      5.68e-02    7.19e-02      8.38e-02    5.05e-02    1.0e-03
   2000      2.18e+00    1.90e+00      6.17e-02    1.42e-02      7.75e-02    6.81e-02    7.8e-04
   3000      1.82e+00    1.16e+00      2.30e-02    8.21e-02      6.52e-02    3.98e-02    7.8e-04
   4000      1.18e+00    9.06e-01      6.42e-02    9.48e-03      4.56e-02    3.68e-02    6.1e-04
   5000      1.38e+00    2.62e+00      3.45e-02    6.88e-02      5.54e-02    1.06e-01    6.1e-04
   6000      1.56e+00    1.30e+00      2.16e-02    6.10e-02      7.16e-02    5.73e-02    4.7e-04
   7000      1.30e+00    1.00e+00      3.11e-02    9.22e-03      5.71e-02    4.62e-02    4.7e-04
   8000      1.48e+00    1.35e+00      1.39e-02    7.48e-02      7.70e-02    6.54e-02    3.7e-04
   9000      1.16e+00    1.73e+00      1.98e-02    4.64e-02      6.01e-02    8.96e-02    3.7e-04
  10000      7.33e-01    6.91e-01      1.93e-02    3.77e-02      4.24e-02    3.79e-02    2.8e-04
  11000      1.32e+00    2.28e+00      2.15e-02    6.14e-02      7.79e-02    1.33e-01    2.8e-04
  12000      1.23e+00    5.75e-01      4.14e-02    1.22e-02      7.99e-02    3.81e-02    2.2e-04
  13000      1.00e+00    1.07e+00      2.90e-02    4.76e-02      6.34e-02    6.79e-02    2.2e-04
  14000      7.25e-01    5.44e-01      2.26e-02    2.36e-02      5.29e-02    3.92e-02    1.7e-04
  15000      7.01e-01    6.48e-01      2.30e-02    4.88e-02      5.05e-02    4.10e-02    1.7e-04
  16000      6.38e-01    1.16e+00      6.64e-03    1.44e-02      5.47e-02    9.93e-02    1.3e-04
  17000      6.83e-01    4.29e-01      3.52e-02    5.11e-03      5.30e-02    3.68e-02    1.3e-04
  18000      6.12e-01    5.47e-01      2.74e-02    4.82e-02      5.62e-02    4.49e-02    1.0e-04
  19000      5.55e-01    1.43e+00      2.62e-02    4.82e-02      5.04e-02    1.36e-01    1.0e-04
  20000      5.09e-01    5.36e-01      2.53e-02    1.14e-02      5.14e-02    5.90e-02    8.1e-05
  21000      9.76e-01    4.55e-01      9.20e-03    1.54e-02      1.08e-01    4.96e-02    8.1e-05
  22000      4.24e-01    5.48e-01      1.18e-02    8.35e-04      5.18e-02    6.85e-02    6.3e-05
  23000      4.19e-01    7.93e-01      2.57e-02    5.13e-03      4.61e-02    9.91e-02    6.3e-05
  24000      5.94e-01    6.29e-01      2.28e-02    3.33e-02      7.72e-02    8.16e-02    4.9e-05
  25000      4.18e-01    3.83e-01      3.01e-02    5.73e-02      4.51e-02    3.94e-02    4.9e-05
  26000      5.50e-01    4.85e-01      3.69e-02    1.95e-02      7.66e-02    7.38e-02    3.8e-05
  27000      9.38e-01    3.99e-01      4.55e-02    5.15e-02      1.42e-01    5.39e-02    3.8e-05
  28000      4.53e-01    3.22e-01      2.33e-02    1.45e-02      7.38e-02    5.35e-02    3.0e-05
  29000      2.66e-01    2.50e-01      6.16e-03    1.38e-02      4.73e-02    4.37e-02    3.0e-05
  30000      4.35e-01    5.66e-01      2.26e-02    3.70e-02      8.18e-02    9.83e-02    2.3e-05
