#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.54e+00    2.04e+00      8.38e-03    2.98e-02      4.88e-02    6.44e-02    1.0e-03
   1000      1.79e+00    2.64e+00      4.11e-02    1.67e-02      5.66e-02    8.35e-02    1.0e-03
   2000      1.27e+00    2.20e+00      3.92e-02    3.99e-02      4.52e-02    7.88e-02    7.8e-04
   3000      1.94e+00    1.49e+00      3.08e-02    1.32e-02      6.94e-02    5.35e-02    7.8e-04
   4000      1.58e+00    1.36e+00      1.99e-02    1.10e-02      6.38e-02    5.51e-02    6.1e-04
   5000      1.37e+00    2.03e+00      1.02e-02    1.35e-02      5.56e-02    8.24e-02    6.1e-04
   6000      1.18e+00    1.53e+00      3.36e-02    3.40e-02      5.34e-02    7.00e-02    4.7e-04
   7000      1.30e+00    1.42e+00      2.50e-02    1.79e-02      5.94e-02    6.54e-02    4.7e-04
   8000      2.00e+00    1.70e+00      2.43e-02    7.14e-03      1.04e-01    8.87e-02    3.7e-04
   9000      1.07e+00    8.43e-01      3.46e-02    2.17e-02      5.38e-02    4.33e-02    3.7e-04
  10000      1.09e+00    1.17e+00      2.22e-02    1.06e-02      6.40e-02    6.94e-02    2.8e-04
  11000      1.09e+00    8.16e-01      4.51e-02    3.04e-02      6.17e-02    4.69e-02    2.8e-04
  12000      9.22e-01    8.35e-01      1.78e-02    7.67e-03      6.13e-02    5.59e-02    2.2e-04
  13000      1.41e+00    8.22e-01      3.82e-02    2.40e-02      9.10e-02    5.48e-02    2.2e-04
  14000      1.11e+00    7.25e-01      5.19e-02    3.24e-02      7.90e-02    5.20e-02    1.7e-04
  15000      9.25e-01    8.16e-01      2.25e-02    5.96e-02      6.93e-02    5.18e-02    1.7e-04
  16000      7.47e-01    5.47e-01      1.62e-02    3.43e-03      6.35e-02    4.71e-02    1.3e-04
  17000      9.84e-01    1.26e+00      2.87e-02    3.61e-02      8.26e-02    1.07e-01    1.3e-04
  18000      4.48e-01    7.52e-01      2.56e-02    3.03e-03      3.92e-02    7.34e-02    1.0e-04
  19000      1.02e+00    4.43e-01      4.66e-02    1.65e-02      9.55e-02    4.26e-02    1.0e-04
  20000      5.84e-01    1.06e+00      2.93e-02    1.03e-01      5.98e-02    9.63e-02    8.1e-05
  21000      5.43e-01    5.05e-01      1.86e-02    1.54e-02      5.78e-02    5.42e-02    8.1e-05
  22000      7.89e-01    6.14e-01      3.50e-02    8.45e-02      8.91e-02    4.12e-02    6.3e-05
