#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.11e-01    6.82e-01      5.76e-16    6.77e-16      1.93e-02    2.16e-02    1.0e-03
   1000      5.78e-01    5.14e-01      2.48e-02    8.88e-03      1.83e-02    1.63e-02    1.0e-03
   2000      5.15e-01    2.46e-01      5.07e-02    4.21e-02      1.80e-02    8.43e-03    6.7e-04
   3000      3.87e-01    4.51e-01      3.44e-02    2.03e-02      1.39e-02    1.72e-02    6.7e-04
   4000      5.41e-01    4.95e-01      2.37e-02    2.68e-02      2.48e-02    2.29e-02    4.5e-04
   5000      4.22e-01    2.60e-01      3.73e-02    2.19e-02      1.88e-02    1.17e-02    4.5e-04
   6000      2.25e-01    2.22e-01      9.92e-03    3.70e-03      1.24e-02    1.27e-02    3.0e-04
   7000      3.00e-01    2.62e-01      1.26e-02    3.47e-03      1.70e-02    1.51e-02    3.0e-04
   8000      2.07e-01    1.69e-01      1.21e-02    1.13e-02      1.33e-02    1.14e-02    2.0e-04
   9000      2.79e-01    2.02e-01      6.49e-03    4.79e-03      1.94e-02    1.41e-02    2.0e-04
  10000      2.41e-01    1.14e-01      8.95e-03    3.48e-03      2.00e-02    9.56e-03    1.3e-04
  11000      2.51e-01    1.44e-01      7.66e-03    4.78e-03      2.14e-02    1.20e-02    1.3e-04
  12000      2.03e-01    1.76e-01      1.07e-02    1.47e-03      2.01e-02    1.84e-02    9.0e-05
  13000      1.15e-01    1.78e-01      5.41e-03    3.31e-03      1.11e-02    1.85e-02    9.0e-05
  14000      1.41e-01    1.22e-01      8.63e-03    2.45e-04      1.64e-02    1.56e-02    6.0e-05
  15000      1.68e-01    6.87e-02      9.30e-03    2.95e-03      1.95e-02    8.32e-03    6.0e-05
  16000      1.76e-01    6.82e-02      1.08e-02    1.29e-04      2.56e-02    1.06e-02    4.0e-05
  17000      9.96e-02    6.83e-02      6.78e-03    2.05e-04      1.43e-02    1.07e-02    4.0e-05
  18000      7.50e-02    9.31e-02      5.07e-03    8.57e-03      1.17e-02    1.44e-02    2.7e-05
  19000      8.28e-02    4.90e-02      4.44e-03    6.04e-04      1.40e-02    9.25e-03    2.7e-05
  20000      8.34e-02    1.05e-01      4.91e-03    4.85e-03      1.79e-02    2.23e-02    1.8e-05
  21000      9.64e-02    9.09e-02      5.19e-03    9.78e-03      2.13e-02    1.54e-02    1.8e-05
  22000      5.25e-02    9.39e-02      2.38e-03    1.01e-02      1.33e-02    2.25e-02    1.2e-05
  23000      5.69e-02    2.96e-02      2.16e-03    1.18e-03      1.50e-02    7.81e-03    1.2e-05
  24000      4.83e-02    4.44e-02      1.93e-03    3.74e-03      1.50e-02    1.36e-02    8.0e-06
  25000      3.71e-02    7.63e-02      2.38e-03    6.04e-03      1.06e-02    2.35e-02    8.0e-06
  26000      4.80e-02    7.64e-02      4.45e-03    6.13e-03      1.67e-02    2.79e-02    5.4e-06
  27000      5.13e-02    4.92e-02      2.24e-03    2.50e-03      1.93e-02    1.83e-02    5.4e-06
  28000      3.34e-02    2.93e-02      1.68e-03    1.54e-03      1.46e-02    1.21e-02    3.6e-06
  29000      5.41e-02    6.93e-02      1.84e-03    5.87e-03      2.42e-02    2.96e-02    3.6e-06
  30000      5.80e-02    1.53e-02      5.66e-03    4.02e-04      2.14e-02    8.14e-03    2.4e-06
  31000      3.44e-02    4.82e-02      1.49e-03    3.49e-03      1.70e-02    2.46e-02    2.4e-06
  32000      3.56e-02    7.35e-02      3.37e-03    1.06e-02      1.55e-02    3.28e-02    1.6e-06
  33000      3.95e-02    3.18e-02      2.99e-03    9.75e-04      2.15e-02    1.94e-02    1.6e-06
  34000      3.66e-02    1.27e-02      1.40e-03    5.34e-04      2.30e-02    8.32e-03    1.1e-06
  35000      2.43e-02    3.14e-02      1.72e-03    1.51e-03      1.39e-02    2.06e-02    1.1e-06
  36000      2.70e-02    1.30e-02      4.91e-04    2.47e-04      2.04e-02    9.76e-03    7.2e-07
  37000      1.91e-02    1.56e-02      1.09e-03    1.82e-03      1.22e-02    1.01e-02    7.2e-07
  38000      7.75e-02    3.60e-02      9.87e-03    4.08e-03      3.40e-02    2.00e-02    4.8e-07
  39000      2.56e-02    1.28e-02      1.22e-03    3.10e-04      1.98e-02    1.04e-02    4.8e-07
  40000      2.44e-02    1.41e-02      1.20e-03    2.13e-04      1.82e-02    1.21e-02    3.2e-07
  41000      3.79e-02    1.10e-02      4.00e-03    2.78e-04      2.34e-02    9.39e-03    3.2e-07
  42000      3.86e-02    1.32e-02      4.39e-03    1.18e-03      2.39e-02    8.55e-03    2.2e-07
  43000      2.44e-02    4.76e-02      2.23e-03    6.54e-03      1.58e-02    1.45e-02    2.2e-07
  44000      4.64e-02    2.42e-02      5.36e-03    8.05e-04      2.40e-02    2.17e-02    1.4e-07
  45000      1.49e-02    1.37e-02      9.53e-04    1.23e-03      1.22e-02    1.17e-02    1.4e-07
  46000      3.08e-02    2.88e-02      3.53e-03    1.65e-03      1.79e-02    2.54e-02    9.6e-08
  47000      2.00e-02    2.45e-02      2.03e-03    7.79e-04      1.48e-02    2.29e-02    9.6e-08
  48000      1.99e-02    3.24e-02      2.24e-03    2.15e-04      1.18e-02    3.14e-02    6.5e-08
  49000      1.67e-02    1.98e-02      4.86e-04    9.28e-04      1.54e-02    1.82e-02    6.5e-08
  50000      3.59e-02    1.09e-02      4.78e-03    3.14e-04      2.30e-02    1.04e-02    4.3e-08
