#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.98e+00    1.74e+00      8.53e-03    2.48e-02      6.27e-02    5.49e-02    1.0e-03
   1000      2.00e+00    2.34e+00      6.50e-02    3.32e-02      6.32e-02    7.40e-02    1.0e-03
   2000      1.68e+00    1.91e+00      1.80e-02    2.77e-02      6.48e-02    7.39e-02    6.7e-04
   3000      1.19e+00    1.62e+00      4.76e-02    8.61e-02      4.54e-02    6.05e-02    6.7e-04
   4000      1.12e+00    1.93e+00      1.30e-02    2.25e-02      5.26e-02    9.08e-02    4.5e-04
   5000      9.25e-01    8.66e-01      2.64e-02    2.09e-02      4.25e-02    4.07e-02    4.5e-04
   6000      1.32e+00    1.10e+00      4.06e-02    5.78e-02      7.21e-02    5.93e-02    3.0e-04
   7000      9.18e-01    1.75e+00      3.48e-02    2.82e-02      5.17e-02    1.00e-01    3.0e-04
   8000      8.33e-01    7.47e-01      2.11e-02    2.34e-02      5.71e-02    5.18e-02    2.0e-04
   9000      8.62e-01    8.80e-01      3.47e-02    3.54e-02      5.85e-02    6.04e-02    2.0e-04
  10000      5.72e-01    6.17e-01      2.36e-02    1.62e-02      4.67e-02    5.22e-02    1.3e-04
  11000      9.26e-01    6.98e-01      1.43e-02    5.33e-02      7.92e-02    5.32e-02    1.3e-04
  12000      6.69e-01    4.09e-01      1.39e-02    3.50e-02      6.85e-02    3.26e-02    9.0e-05
  13000      5.89e-01    6.16e-01      9.15e-03    6.80e-03      6.13e-02    6.45e-02    9.0e-05
  14000      8.14e-01    3.09e-01      2.17e-02    2.51e-02      1.02e-01    3.37e-02    6.0e-05
  15000      5.07e-01    5.29e-01      1.48e-02    2.81e-02      6.22e-02    6.15e-02    6.0e-05
  16000      3.36e-01    5.47e-01      1.07e-02    4.69e-02      5.07e-02    6.94e-02    4.0e-05
  17000      5.27e-01    8.37e-01      2.35e-02    2.05e-02      7.57e-02    1.29e-01    4.0e-05
  18000      2.34e-01    3.17e-01      2.47e-02    2.12e-02      3.44e-02    4.93e-02    2.7e-05
  19000      3.77e-01    1.94e-01      9.62e-03    1.39e-03      7.05e-02    3.69e-02    2.7e-05
  20000      3.56e-01    2.49e-01      1.23e-02    1.03e-02      7.87e-02    5.33e-02    1.8e-05
  21000      3.87e-01    2.08e-01      2.67e-02    1.33e-02      7.13e-02    4.16e-02    1.8e-05
  22000      2.30e-01    6.33e-01      1.73e-02    7.12e-02      5.28e-02    1.14e-01    1.2e-05
  23000      3.33e-01    6.58e-01      2.44e-02    4.87e-02      7.65e-02    1.57e-01    1.2e-05
  24000      2.46e-01    2.53e-01      1.29e-02    4.52e-02      7.39e-02    5.08e-02    8.0e-06
  25000      1.73e-01    3.69e-01      6.60e-03    2.28e-02      5.41e-02    1.14e-01    8.0e-06
  26000      2.57e-01    3.43e-01      3.96e-02    5.79e-03      6.84e-02    1.35e-01    5.4e-06
  27000      1.90e-01    2.19e-01      8.25e-03    1.33e-02      6.86e-02    7.87e-02    5.4e-06
  28000      3.36e-01    1.54e-01      3.33e-02    7.22e-03      8.66e-02    6.67e-02    3.6e-06
  29000      1.34e-01    2.18e-01      6.68e-03    2.40e-03      5.47e-02    1.01e-01    3.6e-06
  30000      1.78e-01    1.85e-01      1.44e-02    7.28e-03      6.52e-02    9.83e-02    2.4e-06
  31000      1.41e-01    7.91e-02      9.36e-03    4.75e-04      6.72e-02    4.28e-02    2.4e-06
  32000      2.62e-01    1.18e-01      3.02e-02    1.34e-02      8.56e-02    6.16e-02    1.6e-06
  33000      2.03e-01    1.65e-01      2.58e-02    3.33e-02      4.94e-02    3.86e-02    1.6e-06
  34000      1.59e-01    8.89e-02      1.28e-02    6.86e-04      8.11e-02    6.16e-02    1.1e-06
  35000      2.33e-01    9.38e-02      1.82e-02    2.16e-04      1.03e-01    6.51e-02    1.1e-06
  36000      1.63e-01    2.48e-01      1.36e-02    2.93e-02      9.21e-02    4.46e-02    7.2e-07
  37000      1.56e-01    1.60e-01      1.29e-02    3.40e-02      8.85e-02    5.31e-02    7.2e-07
  38000      2.12e-01    2.30e-01      2.64e-02    3.20e-02      8.50e-02    6.82e-02    4.8e-07
  39000      2.05e-01    1.23e-01      2.50e-02    2.04e-02      6.66e-02    6.09e-02    4.8e-07
  40000      1.06e-01    1.82e-01      1.17e-02    2.13e-02      6.25e-02    1.05e-01    3.2e-07
  41000      1.46e-01    2.75e-01      1.56e-02    3.81e-02      5.09e-02    6.59e-02    3.2e-07
  42000      1.98e-01    3.86e-01      2.51e-02    4.59e-02      6.88e-02    2.02e-01    2.2e-07
  43000      1.53e-01    1.56e-01      1.92e-02    3.09e-02      8.16e-02    5.82e-02    2.2e-07
  44000      2.20e-01    2.19e-01      2.71e-02    4.26e-02      7.28e-02    7.43e-02    1.4e-07
  45000      2.16e-01    5.91e-02      2.64e-02    2.56e-03      9.61e-02    5.20e-02    1.4e-07
  46000      8.56e-02    3.62e-01      7.24e-03    7.65e-02      5.86e-02    1.69e-01    9.6e-08
  47000      1.56e-01    4.81e-02      1.21e-02    1.13e-03      1.10e-01    4.56e-02    9.6e-08
  48000      1.28e-01    6.84e-02      1.46e-02    5.30e-03      5.67e-02    5.18e-02    6.5e-08
  49000      1.16e-01    1.45e-01      1.05e-02    1.87e-02      5.65e-02    7.11e-02    6.5e-08
  50000      2.76e-01    9.95e-02      3.52e-02    1.33e-02      8.06e-02    3.86e-02    4.3e-08
