#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      5.82e-01    4.66e-01      2.95e-16    9.17e-16      1.84e-02    1.47e-02    1.0e-03
   1000      6.44e-01    7.44e-01      1.58e-02    1.83e-02      2.03e-02    2.35e-02    1.0e-03
   2000      3.99e-01    5.00e-01      2.10e-02    3.21e-02      1.48e-02    1.84e-02    6.7e-04
   3000      4.12e-01    2.85e-01      2.10e-02    2.03e-02      1.56e-02    1.08e-02    6.7e-04
   4000      3.63e-01    3.01e-01      3.35e-02    2.83e-02      1.35e-02    1.18e-02    4.5e-04
   5000      3.11e-01    3.54e-01      1.35e-02    7.63e-03      1.42e-02    1.65e-02    4.5e-04
   6000      4.48e-01    2.04e-01      1.74e-02    2.28e-03      2.53e-02    1.17e-02    3.0e-04
   7000      3.11e-01    3.02e-01      1.02e-02    1.68e-02      1.72e-02    1.61e-02    3.0e-04
   8000      2.54e-01    2.58e-01      1.25e-02    4.78e-02      1.64e-02    1.29e-02    2.0e-04
   9000      2.30e-01    3.35e-01      9.29e-03    5.81e-03      1.56e-02    2.35e-02    2.0e-04
  10000      2.06e-01    1.29e-01      1.04e-02    4.87e-03      1.58e-02    1.06e-02    1.3e-04
  11000      1.94e-01    1.44e-01      5.74e-03    2.13e-03      1.62e-02    1.23e-02    1.3e-04
  12000      1.50e-01    1.49e-01      5.39e-03    1.49e-02      1.52e-02    9.25e-03    9.0e-05
  13000      1.35e-01    1.90e-01      4.45e-03    9.76e-03      1.37e-02    1.90e-02    9.0e-05
  14000      1.31e-01    1.37e-01      5.86e-03    2.98e-03      1.49e-02    1.74e-02    6.0e-05
  15000      2.38e-01    1.34e-01      1.56e-02    8.30e-03      2.75e-02    1.60e-02    6.0e-05
  16000      1.16e-01    1.22e-01      5.48e-03    8.36e-04      1.65e-02    1.90e-02    4.0e-05
  17000      1.04e-01    1.66e-01      1.97e-03    1.23e-02      1.60e-02    2.44e-02    4.0e-05
  18000      8.98e-02    1.09e-01      3.12e-03    5.95e-03      1.66e-02    1.86e-02    2.7e-05
  19000      1.08e-01    1.05e-01      7.30e-03    2.78e-03      1.84e-02    1.96e-02    2.7e-05
  20000      8.48e-02    1.14e-01      3.58e-03    7.82e-03      1.86e-02    2.34e-02    1.8e-05
  21000      6.78e-02    1.12e-01      2.98e-03    8.66e-04      1.46e-02    2.56e-02    1.8e-05
  22000      6.56e-02    8.57e-02      3.46e-03    8.88e-03      1.58e-02    1.78e-02    1.2e-05
  23000      6.65e-02    9.61e-02      3.82e-03    1.06e-02      1.62e-02    2.29e-02    1.2e-05
  24000      4.00e-02    7.56e-02      1.64e-03    3.23e-03      1.26e-02    2.41e-02    8.0e-06
  25000      4.87e-02    6.65e-02      2.43e-03    3.84e-03      1.44e-02    2.13e-02    8.0e-06
  26000      3.45e-02    5.39e-02      1.24e-03    2.05e-03      1.26e-02    2.02e-02    5.4e-06
  27000      8.30e-02    6.14e-02      7.70e-03    3.64e-06      2.35e-02    2.43e-02    5.4e-06
  28000      3.91e-02    4.32e-02      2.74e-03    8.99e-04      1.55e-02    2.00e-02    3.6e-06
  29000      6.06e-02    3.57e-02      5.18e-03    3.53e-03      2.40e-02    1.03e-02    3.6e-06
  30000      4.07e-02    3.48e-02      2.61e-03    1.08e-03      1.83e-02    1.82e-02    2.4e-06
  31000      2.72e-02    4.60e-02      1.44e-03    3.00e-03      1.37e-02    2.37e-02    2.4e-06
  32000      2.48e-02    2.50e-02      1.49e-03    2.34e-03      1.31e-02    9.96e-03    1.6e-06
  33000      3.39e-02    3.95e-02      1.43e-03    3.70e-03      2.01e-02    1.87e-02    1.6e-06
  34000      2.33e-02    3.36e-02      1.94e-03    2.34e-03      1.29e-02    2.05e-02    1.1e-06
  35000      7.98e-02    2.82e-02      8.74e-03    3.60e-04      3.44e-02    1.95e-02    1.1e-06
  36000      2.40e-02    1.20e-02      2.27e-03    5.68e-04      1.45e-02    8.49e-03    7.2e-07
  37000      2.84e-02    1.60e-02      2.12e-03    1.32e-03      1.87e-02    1.13e-02    7.2e-07
  38000      2.79e-02    4.03e-02      2.06e-03    5.71e-03      1.71e-02    1.32e-02    4.8e-07
  39000      2.32e-02    1.54e-02      2.11e-03    1.51e-03      1.38e-02    1.13e-02    4.8e-07
  40000      5.40e-02    1.27e-02      5.91e-03    8.15e-04      2.62e-02    9.55e-03    3.2e-07
  41000      1.87e-02    1.53e-02      1.31e-03    1.62e-03      1.40e-02    1.15e-02    3.2e-07
  42000      1.92e-02    3.42e-02      9.97e-04    3.95e-03      1.62e-02    2.09e-02    2.2e-07
  43000      2.90e-02    1.68e-02      2.52e-03    3.26e-05      2.09e-02    1.52e-02    2.2e-07
  44000      3.41e-02    1.32e-02      3.32e-03    8.57e-04      2.53e-02    1.05e-02    1.4e-07
  45000      2.18e-02    1.51e-02      2.15e-03    1.38e-03      1.49e-02    9.42e-03    1.4e-07
  46000      2.30e-02    1.73e-02      2.18e-03    1.28e-03      1.60e-02    1.25e-02    9.6e-08
  47000      2.55e-02    1.61e-02      3.04e-03    9.89e-04      1.66e-02    1.47e-02    9.6e-08
  48000      2.38e-02    9.41e-03      2.10e-03    1.27e-04      1.70e-02    9.08e-03    6.5e-08
  49000      1.70e-02    2.48e-02      6.51e-04    3.07e-03      1.56e-02    1.61e-02    6.5e-08
  50000      3.18e-02    1.92e-02      2.98e-03    9.40e-04      2.20e-02    1.73e-02    4.3e-08
